Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,24567,19583,32537,19665,48,30,12,6,96,77,4,0,15,25,1,2,154,32,21,8,3,100,60,10,0,30,10,0,2,157
0,2,32235,28270,28042,19726,45,33,6,6,19,9,0,0,10,60,4,0,99,22,12,4,6,22,12,0,0,10,35,2,1,104
0,3,21981,28119,30794,32528,32,21,8,3,79,59,10,0,10,20,0,4,136,23,18,2,3,97,78,4,0,15,25,1,2,140
0,4,32238,30844,31971,25218,18,9,6,3,24,12,2,0,10,15,1,0,72,58,36,16,6,104,84,10,0,10,30,2,0,177
0,5,31167,19961,32633,19859,54,41,10,3,107,90,2,0,15,20,1,1,196,24,15,6,3,87,63,14,0,10,35,1,4,131
0,6,26296,22454,31715,29186,0,0,0,0,18,6,2,0,10,0,0,0,53,43,33,4,6,104,93,6,0,5,35,2,1,147
0,7,22438,32008,19656,30222,39,29,10,0,92,50,12,0,30,40,2,2,146,35,21,8,6,68,41,12,0,15,15,1,0,143
0,8,31596,19606,32479,23687,45,36,6,3,144,134,0,0,10,10,0,2,229,44,30,8,6,121,109,2,0,10,40,2,2,175
0,9,31167,25218,32235,30794,64,50,8,6,182,162,10,0,10,10,0,2,266,42,33,6,3,61,45,6,0,10,20,1,1,113
0,10,30844,28042,28119,32537,0,0,0,0,38,21,2,0,15,0,0,0,58,34,27,4,3,20,8,2,0,10,20,1,1,54
0,11,26296,19583,19726,21981,17,9,2,6,90,65,10,0,15,35,2,1,107,46,30,10,6,101,84,2,0,15,0,0,0,182
0,12,19961,31971,19606,30222,6,3,0,3,38,21,12,0,5,95,4,7,54,43,27,10,6,84,64,10,0,10,10,0,2,222
