Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,27570,21981,28660,24005,8,3,2,3,60,42,8,0,10,0,0,0,68,45,27,12,6,81,65,6,0,10,0,0,0,126
0,2,19583,19666,31715,31971,50,28,16,6,79,55,14,0,10,0,0,0,159,6,0,0,6,59,40,4,0,15,30,0,6,65
0,3,25218,30222,19705,19859,27,18,6,3,78,69,4,0,5,30,0,6,135,35,24,8,3,99,79,10,0,10,30,2,0,164
0,4,19603,30613,31167,24667,3,0,0,3,99,85,14,0,0,30,0,6,107,38,27,8,3,125,98,12,0,15,5,0,1,193
0,5,31551,29186,24393,24599,19,15,4,0,11,6,0,0,5,5,0,1,60,33,21,6,6,115,99,6,0,10,30,2,0,153
0,6,24068,23845,19913,19660,45,29,10,6,58,39,14,0,5,5,0,1,118,28,21,4,3,64,51,8,0,5,15,1,0,97
0,7,19877,19914,28042,28119,19,9,4,6,85,65,10,0,10,0,0,0,124,3,0,0,3,37,21,6,0,10,20,0,4,40
0,8,24567,22438,26167,9755,33,21,6,6,81,61,10,0,10,5,0,1,124,45,27,12,6,92,72,10,0,10,10,0,2,142
0,9,31167,25787,24393,24005,37,24,10,3,84,66,8,0,10,0,0,0,121,37,27,4,6,88,69,4,0,15,0,0,0,125
0,10,28660,29186,19666,24068,33,21,6,6,21,9,2,0,10,5,0,1,54,36,27,6,3,101,84,2,0,15,0,0,0,142
0,11,24599,31971,19705,19877,56,36,14,6,94,80,4,0,10,5,0,1,150,42,28,8,6,94,71,8,0,15,0,0,0,141
0,12,27570,19859,24667,19583,21,12,6,3,67,45,12,0,10,0,0,0,98,38,28,4,6,100,78,12,0,10,10,0,2,138
0,13,24567,30613,21981,28119,37,24,10,3,77,58,4,0,15,0,0,0,114,19,12,4,3,97,73,14,0,10,0,0,0,116
0,14,19914,26167,19660,30222,27,18,6,3,66,45,6,0,15,0,0,0,98,43,28,12,3,105,83,12,0,10,5,0,1,148
0,15,22438,25787,19603,23845,40,24,10,6,112,91,10,1,10,0,0,0,152,9,3,0,6,74,64,0,0,10,0,0,0,83
0,16,25218,28042,19913,31551,21,18,0,3,85,64,6,0,15,0,0,0,116,10,6,4,0,58,42,6,0,10,10,0,2,68
0,17,9755,19877,31715,24667,38,27,8,3,34,18,6,0,10,5,0,1,72,54,34,14,6,78,67,6,0,5,0,0,0,137
0,18,27570,31167,24068,19705,11,6,2,3,96,74,12,0,10,0,0,0,107,50,32,12,6,127,110,12,0,5,0,0,0,177
0,19,19859,29186,30613,19914,30,21,6,3,116,102,4,0,10,5,0,1,146,33,21,6,6,92,66,16,0,10,0,0,0,130
0,20,24599,22438,28042,28660,47,27,14,6,121,107,4,0,10,5,0,1,178,6,0,0,6,39,15,14,0,10,10,0,2,50
0,21,19583,19913,25787,30222,3,0,0,3,49,33,6,0,10,35,1,4,52,25,18,4,3,123,105,8,0,10,0,0,0,183
0,22,23845,21981,26167,31715,19,9,4,6,87,66,6,0,15,15,0,3,111,26,12,8,6,51,36,0,0,15,5,0,1,92
0,23,19603,25218,24005,19666,44,28,10,6,145,120,10,0,15,5,0,1,204,51,35,10,6,100,85,0,0,15,15,0,3,156
0,24,31971,19660,24567,24393,11,6,2,3,90,63,12,0,15,0,0,0,101,41,27,8,6,88,72,6,0,10,0,0,0,129
0,25,9755,28119,31551,19583,33,21,12,0,97,81,6,0,10,0,0,0,145,13,6,4,3,52,39,8,0,5,15,1,0,65
0,26,30613,19705,28042,31715,41,28,10,3,105,86,4,0,15,0,0,0,146,10,6,4,0,28,12,6,0,10,0,0,0,38
0,27,28660,24667,23845,19914,35,21,8,6,92,79,8,0,5,0,0,0,142,37,21,10,6,96,69,12,0,15,15,1,0,133
0,28,31971,26167,29186,31167,33,21,6,6,44,30,4,0,10,30,0,6,77,27,21,0,6,89,72,2,0,15,0,0,0,146
0,29,30222,19666,28119,24599,37,21,10,6,96,69,12,0,15,5,0,1,143,50,36,8,6,89,73,6,0,10,10,0,2,144
0,30,24005,19859,24068,9755,43,29,8,6,136,107,14,0,15,0,0,0,194,45,27,12,6,114,89,10,0,15,15,1,0,159
0,31,25787,24567,31551,19877,41,24,14,3,145,116,14,0,15,10,0,2,186,22,12,4,6,50,27,8,0,15,0,0,0,82
0,32,19913,19603,21981,24393,38,24,8,6,114,93,6,0,15,10,0,2,152,27,15,6,6,85,65,10,0,10,0,0,0,122
0,33,25218,19660,22438,27570,30,18,6,6,102,84,8,0,10,5,0,1,132,17,9,2,6,65,51,4,0,10,0,0,0,87
0,34,28119,24005,29186,23845,43,27,10,6,77,63,4,0,10,5,0,1,120,34,18,10,6,59,37,12,0,10,0,0,0,98
0,35,31971,24068,30222,30613,24,12,6,6,81,60,6,0,15,25,1,2,105,38,27,8,3,120,80,10,0,30,0,0,0,183
