Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19859,28119,19660,22389,47,33,8,6,198,175,8,0,15,0,0,0,270,68,48,14,6,137,120,2,0,15,25,1,2,205
0,2,24567,32333,22406,30613,42,36,0,6,108,94,14,0,0,5,0,1,180,31,21,4,6,103,82,6,0,15,30,2,0,139
0,3,19606,19681,26167,27571,47,33,8,6,245,220,10,0,15,5,0,1,292,49,39,4,6,104,83,6,0,15,0,0,0,158
0,4,19601,23845,19683,31167,23,15,2,6,161,138,8,0,15,30,1,3,189,54,42,6,6,144,119,10,0,15,5,0,1,228
0,5,24306,24667,12527,32008,54,42,6,6,153,126,12,0,15,20,1,1,212,64,48,10,6,161,138,8,0,15,5,0,1,245
0,6,27501,23687,19726,31596,59,43,10,6,229,206,8,0,15,5,0,1,308,25,15,4,6,90,48,12,0,30,20,1,1,120
0,7,32009,19965,19612,16093,36,24,6,6,151,135,6,0,10,10,0,2,207,64,46,12,6,88,82,6,0,0,20,1,1,162
0,8,30794,26167,31715,22406,36,30,0,6,99,78,6,0,15,20,1,1,160,27,21,0,6,113,93,10,0,10,25,1,2,160
0,9,19681,30613,19726,28119,53,33,14,6,142,117,10,0,15,0,0,0,235,25,15,4,6,149,129,10,0,10,40,2,2,174
0,10,19612,31167,19606,32333,75,55,14,6,168,139,14,0,15,5,0,1,298,68,48,14,6,143,125,8,0,10,55,2,5,216
