Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19666,30319,25720,19705,58,42,14,0,10,6,191,176,58,2,0,0,15,15,0,3,249,60,42,14,0,12,6,62,41,13,2,6,0,15,0,0,0,137
0,2,19914,24599,30676,16095,64,48,14,6,10,6,122,103,34,1,4,0,15,0,0,0,211,50,38,12,2,6,6,146,121,40,1,10,0,15,25,0,5,196
0,3,24068,20827,20106,25832,66,52,17,1,8,6,230,205,66,7,10,0,15,20,1,1,311,3,0,0,0,0,3,111,94,31,1,2,0,15,15,0,3,134
0,4,32528,30222,24005,19797,33,24,8,0,6,3,151,136,45,1,0,0,15,15,0,3,209,38,28,9,1,4,6,89,75,24,3,4,0,10,25,1,2,142
0,5,19665,27570,22404,21981,51,39,13,0,6,6,191,167,55,2,14,0,10,5,0,1,257,54,42,14,0,6,6,113,99,31,6,4,0,10,15,0,3,172
0,6,19605,19682,19613,19608,47,33,11,0,8,6,187,166,53,7,6,0,15,15,1,0,259,37,21,7,0,10,6,160,133,43,4,12,0,15,25,1,2,212
0,7,24393,8347,25787,25218,55,39,13,0,10,6,60,47,14,5,8,0,5,150,8,6,125,40,34,11,1,0,6,142,127,41,4,0,0,15,10,0,2,332
0,8,32235,25832,19797,19600,19,9,3,0,4,6,123,104,34,2,4,0,15,40,2,2,147,40,30,10,0,4,6,119,102,34,0,2,0,15,5,0,1,199
0,9,16095,22404,19705,30222,51,39,13,0,6,6,155,126,40,6,14,0,15,0,0,0,211,39,27,9,0,6,6,155,134,44,2,6,0,15,5,0,1,194
0,10,25787,19605,21981,25720,41,33,11,0,2,6,133,117,39,0,6,0,10,20,1,1,194,47,33,11,0,8,6,186,146,47,5,10,0,30,20,1,1,253
0,11,19613,30319,25218,24599,44,30,9,3,8,6,155,126,39,9,14,0,15,20,0,4,219,79,65,21,2,8,6,179,156,50,6,8,0,15,20,1,1,278
0,12,20827,19665,19600,19914,43,29,9,2,8,6,144,119,39,2,10,0,15,30,1,3,192,60,42,13,3,12,6,110,94,31,1,6,0,10,5,0,1,200
0,13,8347,24068,32528,19608,49,33,11,0,10,6,142,117,39,0,10,0,15,0,0,0,251,29,18,6,0,8,3,117,105,35,0,2,0,10,60,3,3,146
0,14,30676,32235,24393,27570,35,27,9,0,2,6,93,75,25,0,8,0,10,40,1,5,138,41,27,9,0,8,6,181,158,50,8,8,0,15,10,0,2,262
0,15,19682,20106,24005,19666,45,33,11,0,6,6,219,194,61,11,10,0,15,15,0,3,264,59,45,15,0,8,6,165,140,46,2,10,0,15,0,0,0,239
0,16,25218,19914,19705,24068,35,27,9,0,2,6,80,62,19,5,8,0,10,10,0,2,125,69,51,17,0,12,6,153,130,42,4,8,0,15,10,0,2,232
0,17,24393,25832,24599,22404,23,18,6,0,2,3,72,52,17,1,14,1,5,30,1,3,125,61,47,15,2,8,6,104,91,29,4,2,1,10,30,0,6,195
0,18,8347,19666,20827,19605,52,34,11,1,12,6,112,85,28,1,12,0,15,10,0,2,184,23,12,4,0,8,3,52,34,11,1,8,0,10,20,1,1,85
0,19,25720,19613,16095,24005,58,42,13,3,10,6,154,132,43,3,12,0,10,5,0,1,237,39,27,9,0,6,6,120,97,32,1,8,0,15,25,1,2,164
0,20,32528,19600,20106,30676,63,39,13,0,18,6,201,174,58,0,12,0,15,10,0,2,294,15,9,3,0,0,6,129,114,38,0,0,0,15,30,1,3,154
0,21,27570,25787,30222,19682,53,39,13,0,8,6,180,155,51,2,10,0,15,35,2,1,353,14,6,2,0,2,6,96,84,28,0,2,0,10,120,8,0,145
0,22,19608,21981,30319,32235,53,33,11,0,14,6,119,103,34,1,0,1,15,30,1,3,207,47,39,13,0,2,6,170,145,46,7,10,0,15,35,1,4,247
0,23,19797,19705,19665,20106,47,37,12,1,4,6,88,71,23,2,6,1,10,20,1,1,180,35,21,7,0,8,6,156,138,45,3,8,0,10,45,2,3,211
0,24,30676,22404,20827,25787,50,42,14,0,2,6,132,92,30,2,10,0,30,0,0,0,342,63,51,17,0,6,6,110,87,26,9,8,0,15,160,10,2,173
0,25,30222,19666,24599,24068,46,30,10,0,10,6,136,120,34,18,6,0,10,0,0,0,192,75,57,19,0,12,6,112,97,32,1,10,0,5,10,0,2,187
0,26,25832,25720,19682,32528,38,27,9,0,8,3,103,66,21,3,6,1,30,0,0,0,191,49,36,12,0,10,3,147,122,39,5,10,0,15,50,3,1,196
0,27,21981,19600,8347,19613,58,42,14,0,10,6,175,132,44,0,12,1,30,0,0,0,248,42,28,9,1,8,6,80,58,19,1,12,0,10,15,1,0,122
0,28,19605,16095,32235,19665,44,36,12,0,2,6,83,63,21,0,4,1,15,30,2,0,172,27,15,5,0,6,6,157,128,40,8,14,0,15,45,3,0,214
0,29,19914,24393,30319,19797,47,39,13,0,2,6,108,78,24,6,14,1,15,20,1,1,170,6,0,0,0,0,6,83,69,23,0,4,0,10,15,1,0,109
0,30,19608,24005,27570,25218,53,39,13,0,8,6,136,113,37,2,8,0,15,25,1,2,209,60,48,16,0,6,6,156,129,38,15,12,0,15,20,1,1,241
0,31,19705,30676,25832,19613,70,52,17,1,12,6,133,108,36,0,10,0,15,125,8,1,208,44,29,9,2,12,3,82,65,19,8,2,0,15,5,0,1,251
0,32,20106,30222,19605,19914,25,18,6,0,4,3,71,51,17,0,10,0,10,0,0,0,101,45,33,11,0,6,6,124,101,33,2,8,0,15,5,0,1,169
0,33,25218,20827,32235,19682,48,36,12,0,6,6,96,80,26,2,6,0,10,25,1,2,209,40,30,10,0,4,6,85,66,22,0,4,0,15,65,2,7,150
0,34,19600,24599,25720,27570,67,53,17,2,8,6,184,157,51,4,12,0,15,5,0,1,291,63,45,14,3,12,6,138,119,34,17,4,0,15,40,2,2,206
0,35,21981,16095,24068,24393,53,41,13,2,6,6,145,118,39,1,12,0,15,50,1,7,198,54,40,13,1,8,6,192,171,56,3,6,0,15,0,0,0,296
0,36,25787,32528,19666,19665,24,18,6,0,0,6,108,102,34,0,6,0,0,0,0,0,262,50,36,12,0,8,6,111,93,31,0,8,0,10,130,2,20,161
0,37,30319,24005,22404,8347,36,24,8,0,6,6,172,158,52,2,4,0,10,25,1,2,233,25,15,5,0,4,6,133,93,30,3,10,0,30,25,1,2,183
0,38,19797,20827,19608,25720,21,15,5,0,0,6,126,99,32,3,12,0,15,20,1,1,177,41,29,9,2,6,6,199,165,55,0,4,0,30,30,2,0,260
0,39,25832,25218,30222,21981,29,15,5,0,8,6,151,124,40,4,12,0,15,5,0,1,185,38,30,10,0,2,6,91,81,27,0,0,0,10,5,0,1,134
0,40,24599,19705,24005,19605,69,57,19,0,6,6,169,142,45,7,12,0,15,10,0,2,283,12,9,3,0,0,3,88,69,23,0,4,0,15,45,3,0,110
0,41,19600,19608,19666,24393,67,49,16,1,12,6,173,129,42,3,14,0,30,15,1,0,255,22,15,5,0,4,3,54,36,12,0,8,0,10,15,1,0,91
0,42,22404,32235,19914,32528,47,39,13,0,2,6,145,105,35,0,10,0,30,35,1,4,242,77,57,18,3,14,6,140,120,39,3,10,0,10,50,3,1,252
0,43,19613,19797,24068,25787,75,61,20,1,8,6,112,91,29,4,6,0,15,15,1,0,227,14,9,3,0,2,3,137,119,38,5,8,0,10,40,2,2,166
0,44,19682,30676,19665,8347,54,42,14,0,6,6,167,144,47,3,8,0,15,10,0,2,251,51,31,9,4,14,6,158,147,49,0,6,0,5,30,1,3,219
0,45,27570,20106,16095,30319,74,54,18,0,14,6,138,128,42,2,10,0,0,25,0,5,212,37,27,9,0,4,6,161,132,43,3,14,0,15,0,0,0,223
1,1,25218,21981,24068,19705,65,48,15,3,14,3,179,159,53,0,4,1,15,5,0,1,254,62,42,14,0,14,6,165,146,47,5,4,0,15,10,0,2,232
2,1,27570,20827,19914,25787,71,55,17,4,10,6,194,169,55,4,10,0,15,15,0,3,265,29,18,6,0,8,3,89,69,22,3,10,0,10,0,0,0,133
3,1,19600,25720,25218,21981,39,33,11,0,0,6,142,124,41,1,8,0,10,20,1,1,186,29,18,6,0,8,3,106,87,25,12,4,0,15,5,0,1,155
4,1,24599,19666,27570,20827,67,53,17,2,8,6,140,117,36,9,8,0,15,10,0,2,222,43,33,11,0,4,6,163,140,46,2,8,0,15,15,0,3,216
