Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19612,27573,28770,8347,43,33,4,6,94,67,12,0,15,0,0,0,147,26,18,2,6,58,42,6,0,10,10,0,2,84
0,2,19965,28767,30066,22385,28,21,4,3,66,51,0,0,15,45,3,0,219,31,21,4,6,63,44,4,0,15,125,8,1,139
0,3,22406,27648,19730,20827,45,30,12,3,114,102,2,0,10,35,1,4,174,22,15,4,3,99,76,8,0,15,15,1,0,156
0,4,19585,19683,22454,16093,49,33,10,6,103,80,8,0,15,10,0,2,197,40,27,10,3,116,99,2,0,15,45,2,3,166
0,5,19608,30753,24005,19726,43,33,4,6,58,42,6,0,10,15,1,0,111,42,27,12,3,69,49,10,0,10,10,0,2,126
0,6,19797,19656,19600,32198,6,0,0,6,80,54,10,1,15,10,0,2,86,40,24,10,6,66,49,2,0,15,0,0,0,116
0,7,22715,27650,24551,19605,33,18,12,3,80,59,6,0,15,60,4,0,188,3,0,0,3,56,38,8,0,10,75,5,0,119
0,8,32479,19913,19682,19602,21,9,6,6,33,21,2,0,10,115,7,2,54,44,33,8,3,101,71,0,0,30,0,0,0,260
0,9,20827,19725,19726,32333,50,39,8,3,100,58,12,0,30,20,1,1,175,42,30,6,6,120,104,6,0,10,25,1,2,182
0,10,30066,19600,19585,19612,46,28,12,6,70,51,4,0,15,5,0,1,146,49,33,10,6,95,75,10,0,10,30,1,3,149
0,11,19965,19683,19730,24005,49,36,10,3,98,75,8,0,15,10,0,2,167,41,24,14,3,99,74,10,0,15,20,1,1,150
0,12,19608,27573,22454,22715,49,31,12,6,107,65,12,0,30,0,0,0,191,0,0,0,0,35,21,4,0,10,35,2,1,35
0,13,19602,27648,27650,19725,34,27,4,3,106,83,8,0,15,10,0,2,200,48,31,14,3,77,54,8,0,15,60,4,0,135
0,14,19913,32333,19797,28767,44,33,8,3,76,42,4,0,30,0,0,0,180,39,21,12,6,69,54,4,1,10,60,2,6,108
0,15,32479,22385,24551,32198,26,15,8,3,35,24,0,1,10,5,0,1,81,14,9,2,3,62,39,8,0,15,20,1,1,81
0,16,16093,8347,22406,19605,38,27,8,3,120,97,8,0,15,25,1,2,178,43,27,10,6,122,96,10,1,15,20,1,1,190
0,17,19682,19656,30753,28770,21,9,6,6,88,71,2,0,15,20,0,4,229,13,6,4,3,37,15,12,0,10,120,6,6,70
0,18,27573,19726,19683,28767,27,15,6,6,59,44,0,0,15,0,0,0,116,44,30,8,6,69,59,0,0,10,30,0,6,113
0,19,19725,19730,22385,19600,40,24,10,6,58,33,10,0,15,85,5,2,103,24,15,6,3,52,34,8,0,10,5,0,1,161
0,20,22715,19602,32333,19965,41,30,8,3,58,42,6,0,10,75,5,0,134,41,27,8,6,57,30,12,0,15,35,2,1,173
0,21,24551,22406,19797,19682,44,30,8,6,95,81,4,0,10,100,6,2,144,44,27,14,3,115,93,12,0,10,5,0,1,259
0,22,16093,24005,19656,32479,52,40,6,6,156,114,12,0,30,10,0,2,223,22,12,4,6,32,18,4,0,10,15,0,3,64
0,23,27648,19585,28770,19608,44,36,2,6,88,70,8,0,10,15,0,3,137,48,30,12,6,66,54,2,0,10,5,0,1,129
0,24,30066,20827,19605,30753,43,27,10,6,39,18,6,0,15,40,2,2,102,32,18,8,6,50,32,8,0,10,20,1,1,122
0,25,32198,22454,8347,19913,13,9,4,0,67,45,12,0,10,5,0,1,115,47,27,14,6,64,48,6,0,10,35,0,7,116
0,26,19726,27650,19612,19656,18,9,6,3,120,100,10,0,10,15,0,3,168,49,36,10,3,79,56,8,0,15,30,1,3,143
0,27,24005,19797,27573,27648,50,34,10,6,105,84,6,0,15,20,1,1,175,26,21,2,3,96,71,10,0,15,20,1,1,142
0,28,19602,24551,19608,16093,43,31,6,6,54,33,6,0,15,15,0,3,127,55,37,12,6,115,108,2,0,5,30,1,3,185
0,29,28770,22454,20827,22385,11,6,2,3,10,0,0,0,10,15,1,0,31,50,34,10,6,84,63,6,0,15,10,0,2,149
0,30,8347,19682,19965,27650,54,39,12,3,93,75,8,0,10,130,8,2,147,42,29,10,3,79,67,2,0,10,0,0,0,251
0,31,30753,19600,28767,22406,37,21,10,6,66,43,12,1,10,5,0,1,108,44,30,8,6,82,73,4,0,5,5,0,1,131
0,32,32333,32198,19612,19683,42,30,6,6,57,43,4,0,10,40,2,2,119,56,40,10,6,146,104,12,0,30,20,1,1,242
0,33,32479,22715,19725,30066,8,3,2,3,41,21,10,0,10,10,0,2,54,30,24,0,6,75,55,10,0,10,5,0,1,115
0,34,19605,19730,19913,19585,9,3,0,6,43,33,0,0,10,45,2,3,72,25,15,4,6,63,54,4,0,5,20,1,1,133
