Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19725,12527,30319,32235,40,30,4,6,106,87,4,0,15,35,1,4,156,27,15,6,6,87,51,6,0,30,10,0,2,149
0,2,22404,19419,24393,27501,30,18,6,6,118,82,6,0,30,45,2,3,273,42,32,4,6,123,87,6,0,30,125,8,1,210
0,3,19600,16095,30844,27650,35,21,8,6,136,116,10,0,10,5,0,1,246,51,27,18,6,53,30,12,1,10,75,3,6,109
0,4,26296,22406,24306,19601,28,21,4,3,100,86,4,0,10,35,1,4,128,53,39,8,6,70,60,0,0,10,0,0,0,158
0,5,22715,24599,19666,23845,63,51,6,6,64,45,4,0,15,105,4,9,127,59,47,6,6,136,109,12,0,15,0,0,0,300
0,6,19965,19605,27573,32008,37,24,10,3,115,97,8,0,10,25,1,2,167,40,32,2,6,81,67,4,0,10,15,0,3,146
0,7,8347,27648,19395,32238,25,15,4,6,140,113,12,0,15,35,1,4,175,14,6,2,6,83,76,2,0,5,10,0,2,132
0,8,30676,22232,25720,19392,29,15,8,6,117,99,8,0,10,30,0,6,146,19,12,4,3,76,58,8,0,10,0,0,0,125
0,9,12630,16107,32009,22389,3,0,0,3,74,60,4,0,10,75,5,0,82,35,27,2,6,116,93,8,0,15,5,0,1,226
0,10,31558,27571,24393,19726,15,9,0,6,77,52,10,0,15,10,0,2,92,24,18,0,6,82,63,4,0,15,0,0,0,116
0,11,27650,30319,19965,22715,6,0,0,6,85,71,4,0,10,10,0,2,201,18,12,0,6,76,60,6,0,10,110,7,1,104
