Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,26501,506,7477,19066,77,57,18,3,14,6,237,226,75,1,6,0,5,25,1,2,324,74,57,18,3,14,3,266,242,80,2,14,0,10,10,0,2,365
0,2,9879,10084,27674,11329,79,69,23,0,4,6,288,265,85,10,6,2,15,15,0,3,372,77,69,23,0,2,6,376,349,112,13,12,0,15,5,0,1,468
0,3,19498,5237,16917,6093,61,51,15,6,4,6,154,142,47,1,2,0,10,35,1,4,220,24,14,0,14,4,6,245,205,68,1,10,0,30,5,0,1,304
0,4,22105,23623,18185,11444,63,57,19,0,0,6,210,190,58,16,10,0,10,0,0,0,273,44,36,12,0,8,0,138,124,41,1,4,0,10,0,0,0,182
0,5,22471,10138,365,1002,27,24,8,0,0,3,99,78,26,0,6,0,15,15,0,3,141,52,42,14,0,4,6,255,226,74,4,14,0,15,15,1,0,322
0,6,15668,13100,18240,6133,67,57,19,0,4,6,134,115,38,1,4,0,15,5,0,1,201,32,24,8,0,2,6,108,79,25,4,14,0,15,0,0,0,145
0,7,16236,8680,17288,10255,97,85,28,1,6,6,318,289,95,4,14,0,15,0,0,0,455,45,31,9,4,8,6,106,96,32,0,0,0,10,40,1,5,151
0,8,18650,23504,20131,14204,18,12,4,0,0,6,128,112,37,1,6,0,10,15,0,3,146,63,51,17,0,6,6,215,194,63,5,10,1,10,0,0,0,293
0,9,24751,23396,21225,24090,76,60,20,0,10,6,76,58,19,1,8,0,10,20,0,4,167,72,60,20,0,6,6,174,159,52,3,0,0,15,15,1,0,266
0,10,26064,19500,12331,14631,21,12,4,0,6,3,101,78,26,0,8,0,15,50,2,4,127,79,69,23,0,4,6,224,186,62,0,8,0,30,5,0,1,353
0,11,14954,21936,25957,13375,69,57,19,0,6,6,201,187,62,1,4,0,10,5,0,1,275,69,60,20,0,6,3,171,150,50,0,6,0,15,5,0,1,245
0,12,20515,22755,23305,19956,14,6,2,0,2,6,76,36,12,0,10,0,30,5,0,1,120,31,21,7,0,4,6,146,120,40,0,16,0,10,30,1,3,182
0,13,9808,17861,14525,23350,92,78,26,0,8,6,256,231,77,0,10,0,15,5,0,1,353,50,45,15,0,2,3,207,186,62,0,6,0,15,5,0,1,262
0,14,29029,26089,6962,19955,69,51,17,0,12,6,214,192,63,3,12,0,10,25,0,5,288,40,30,10,0,4,6,217,196,63,7,6,0,15,5,0,1,282
0,15,24219,18650,10255,22105,18,12,4,0,0,6,124,107,35,2,2,0,15,15,0,3,152,87,75,25,0,6,6,162,139,45,4,8,0,15,10,0,2,264
0,16,5237,23504,26501,18240,82,66,22,0,10,6,226,208,69,1,8,0,10,45,1,6,313,38,21,7,0,14,3,74,47,15,2,12,0,15,5,0,1,157
0,17,21225,20131,6093,1002,43,33,11,0,4,6,197,168,55,3,14,0,15,5,0,1,255,40,30,10,0,4,6,143,126,39,9,2,0,15,15,1,0,188
0,18,506,8680,23623,24751,76,66,22,0,4,6,297,259,85,4,8,0,30,20,0,4,418,92,84,28,0,2,6,142,129,40,9,8,0,5,45,3,0,254
0,19,27674,21936,13100,19500,97,81,27,0,10,6,294,271,88,7,8,0,15,10,0,2,401,53,39,13,0,8,6,223,200,65,5,8,0,15,10,0,2,286
0,20,14954,7477,23350,17288,37,27,9,0,4,6,114,89,28,5,10,0,15,5,0,1,186,73,66,22,0,4,3,30,12,4,0,8,0,10,35,0,7,108
0,21,13375,18185,6962,365,41,28,9,1,10,3,95,68,21,5,12,0,15,15,0,3,161,90,72,24,0,12,6,232,207,69,0,10,0,15,25,1,2,337
0,22,19955,9879,26064,9808,84,72,24,0,6,6,209,189,61,6,10,0,10,5,0,1,303,26,12,4,0,8,6,113,96,32,0,2,0,15,10,0,2,144
