Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,25171,15527,25153,18763,3,0,0,0,0,3,91,66,22,0,10,0,15,20,1,1,139,76,69,23,0,4,3,163,140,46,2,8,0,15,45,2,3,259
0,2,24906,6437,10016,18255,44,30,10,0,8,6,166,126,42,0,10,0,30,10,0,2,240,35,30,10,0,2,3,134,109,35,4,14,1,10,30,1,3,179
0,3,21036,10355,701,27572,54,42,14,0,6,6,85,66,22,0,4,0,15,0,0,0,144,18,12,4,0,0,6,122,108,36,0,4,0,10,5,0,1,140
0,4,9876,25584,26960,14841,55,39,13,0,10,6,120,96,29,9,14,0,10,15,0,3,185,55,48,16,0,4,3,155,132,44,0,8,0,15,10,0,2,225
0,5,20871,26073,21305,8803,89,75,25,0,8,6,229,213,71,0,6,0,10,20,1,1,328,80,66,22,0,8,6,216,185,61,2,16,0,15,10,0,2,316
0,6,30435,32728,10015,10949,46,30,10,0,10,6,251,228,75,3,8,0,15,35,1,4,312,19,12,4,0,4,3,150,129,43,0,6,0,15,15,0,3,204
0,7,23392,8393,28061,24804,58,42,14,0,10,6,192,167,55,2,14,1,10,5,0,1,255,44,30,10,0,8,6,41,36,12,0,0,0,5,5,0,1,90
0,8,24064,18108,12887,14906,51,41,12,5,4,6,206,174,58,0,2,0,30,5,0,1,277,54,44,14,2,4,6,188,161,52,5,12,0,15,20,1,1,247
0,9,23264,25631,18221,19819,25,15,5,0,4,6,68,45,15,0,6,2,15,110,7,1,108,62,54,18,0,2,6,242,226,75,1,6,0,10,15,1,0,414
0,10,27679,,16818,16417,0,0,0,0,0,0,10,0,0,0,0,0,10,80,5,1,85,36,30,10,0,0,6,192,175,58,1,2,0,15,75,4,3,308
0,11,24799,34063,24331,24253,42,24,8,0,12,6,114,93,31,0,6,0,15,5,0,1,156,59,45,15,0,8,6,135,117,39,0,8,0,10,0,0,0,199
0,12,17755,11511,19862,27501,78,66,22,0,6,6,164,130,43,1,4,0,30,5,0,1,267,79,63,21,0,10,6,232,209,69,2,8,0,15,25,1,2,316
0,13,25650,24089,30110,15297,93,81,27,0,6,6,215,196,63,7,4,0,15,5,0,1,328,73,60,20,0,10,3,209,184,61,1,10,0,15,20,1,1,287
0,14,11148,8492,8565,7253,50,36,12,0,8,6,178,156,50,6,6,1,15,20,0,4,228,69,57,19,0,6,6,150,129,43,0,6,0,15,0,0,0,239
0,15,4102,701,15527,10015,43,36,12,0,4,3,114,93,31,0,6,0,15,10,0,2,162,15,9,3,0,0,6,74,57,19,0,2,0,15,5,0,1,99
0,16,25584,18221,20871,21036,56,51,17,0,2,3,185,168,56,0,2,0,15,5,0,1,246,74,60,20,0,8,6,133,106,35,1,12,0,15,5,0,1,212
0,17,26960,24906,16818,18108,73,61,20,1,6,6,75,57,19,0,2,1,15,0,0,0,148,53,43,14,1,4,6,127,100,33,1,12,0,15,0,0,0,180
0,18,18763,10016,19819,8803,59,51,17,0,2,6,124,101,33,2,8,0,15,30,1,3,188,80,72,24,0,2,6,155,132,44,0,8,0,15,5,0,1,265
0,19,24799,25631,23392,25171,15,12,4,0,0,3,159,138,46,0,6,0,15,20,0,4,179,6,0,0,0,0,6,97,72,24,0,10,0,15,5,0,1,123
0,20,21305,34063,32728,27501,60,46,15,1,8,6,168,148,47,7,10,0,10,20,0,4,238,63,57,19,0,0,6,276,251,83,2,10,0,15,10,0,2,359
0,21,24804,17755,10949,24064,68,52,17,1,10,6,78,60,20,0,8,0,10,15,0,3,161,57,45,15,0,6,6,197,180,60,0,2,0,15,15,0,3,269
0,22,9876,30110,19862,27679,59,39,13,0,14,6,208,183,61,0,10,0,15,5,0,1,272,47,39,13,0,2,6,113,102,34,0,0,1,10,5,0,1,165
0,23,8565,25650,26073,6437,49,33,11,0,10,6,224,184,61,1,10,0,30,10,0,2,293,59,45,15,0,8,6,101,75,25,0,16,0,10,20,1,1,170
0,24,30435,12887,24089,9999,52,42,14,0,4,6,154,136,44,4,8,0,10,5,0,1,246,38,36,12,0,2,0,88,78,24,6,0,0,10,40,1,5,131
0,25,16417,18255,24331,28061,42,34,11,1,2,6,125,115,38,1,0,0,10,20,1,1,192,63,45,15,0,12,6,131,117,39,0,4,0,10,25,0,5,214
0,26,24253,25153,27572,7253,55,45,15,0,4,6,140,111,36,3,14,0,15,25,1,2,200,32,21,7,0,8,3,124,90,30,0,4,0,30,5,0,1,181
