Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,25620,12682,14503,21536,92,78,25,3,8,6,300,273,90,3,12,0,15,40,2,2,392,46,39,13,0,4,3,62,43,13,4,4,0,15,0,0,0,148
0,2,33611,3189,16076,25039,35,30,10,0,2,3,165,136,45,1,14,0,15,10,0,2,210,42,28,9,1,8,6,79,69,21,6,0,0,10,10,0,2,131
0,3,15991,12272,26000,4964,71,54,18,0,14,3,162,142,47,1,10,0,10,25,1,2,233,82,69,23,0,10,3,159,127,40,7,2,0,30,0,0,0,266
0,4,4133,23842,16008,25049,23,15,5,0,2,6,72,42,14,0,0,0,30,15,1,0,115,3,0,0,0,0,3,15,0,0,0,0,0,15,20,1,1,33
0,5,16617,25209,27772,20265,63,51,17,0,6,6,117,105,35,0,2,0,10,40,1,5,225,48,42,14,0,0,6,185,147,49,0,8,0,30,45,0,9,273
0,6,24697,23619,23849,18270,30,24,8,0,0,6,193,165,55,0,12,1,15,25,1,2,273,78,72,24,0,0,6,213,197,64,5,6,0,10,50,2,4,316
0,7,7288,33490,12313,772,20,12,4,0,8,0,29,15,5,0,4,0,10,5,0,1,54,58,48,16,0,4,6,169,148,49,1,6,0,15,5,0,1,232
0,8,25609,14596,26908,18139,15,9,3,0,0,6,153,135,45,0,8,0,10,5,0,1,183,51,42,14,0,6,3,163,142,46,4,6,0,15,15,1,0,219
0,9,10809,20240,8721,12808,69,55,18,1,8,6,191,171,56,3,10,0,10,15,0,3,260,65,57,19,0,2,6,224,201,66,3,8,0,15,0,0,0,304
0,10,6417,5026,6272,7172,42,30,10,0,6,6,162,142,45,7,10,0,10,0,0,0,204,81,61,20,1,14,6,196,171,57,0,10,0,15,0,0,0,277
0,11,25576,22156,9567,15534,56,36,12,0,14,6,157,132,42,6,10,0,15,15,0,3,228,83,66,22,0,14,3,196,171,55,6,10,0,15,15,0,3,294
0,12,19376,23532,23250,25943,56,46,15,1,4,6,121,79,26,1,12,0,30,20,1,1,192,49,42,14,0,4,3,156,129,43,0,12,0,15,15,1,0,225
0,13,17257,10104,23292,31978,44,39,13,0,2,3,166,143,47,2,8,0,15,15,0,3,230,43,33,11,0,4,6,131,121,40,1,0,0,10,20,0,4,189
0,14,15996,22985,16010,10309,73,57,19,0,10,6,207,186,62,0,6,0,15,30,1,3,295,46,39,13,0,4,3,51,29,9,2,12,0,10,15,0,3,127
0,15,16617,26000,16076,7288,8,3,1,0,2,3,43,33,11,0,0,0,10,0,0,0,121,35,21,7,0,8,6,18,3,1,0,0,0,15,70,4,2,53
0,16,25039,772,8721,26908,22,15,5,0,4,3,154,147,49,0,2,0,5,35,2,1,176,39,27,9,0,6,6,74,56,17,5,8,0,10,0,0,0,148
0,17,18139,12313,16008,15991,70,60,20,0,4,6,156,138,44,6,8,0,10,0,0,0,226,66,57,19,0,6,3,150,129,43,0,6,0,15,0,0,0,216
0,18,23842,25576,12272,12808,60,52,17,1,2,6,146,119,39,2,12,0,15,75,2,9,221,46,36,12,0,4,6,15,3,1,0,2,0,10,15,0,3,136
