Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,11225,19013,19564,23213,73,66,22,0,4,3,168,154,50,4,4,0,10,25,0,5,251,89,75,25,0,8,6,262,241,80,1,6,0,15,10,0,2,376
0,2,23286,5477,24070,22377,52,42,14,0,4,6,152,133,44,1,4,0,15,5,0,1,219,70,60,20,0,4,6,154,138,46,0,6,0,10,15,0,3,229
0,3,11308,25528,26100,9415,39,33,11,0,0,6,114,96,32,0,8,0,10,15,0,3,153,55,45,15,0,4,6,162,137,44,5,10,0,15,0,0,0,232
0,4,3747,19836,26744,21380,68,54,17,3,8,6,178,149,47,8,14,0,15,20,0,4,246,31,21,7,0,4,6,90,63,21,0,12,0,15,0,0,0,141
0,5,26914,23417,9848,25780,65,54,18,0,8,3,147,131,43,2,6,0,10,10,0,2,227,40,30,10,0,4,6,108,93,31,0,4,1,10,15,1,0,158
0,6,30393,25619,26112,23224,73,62,20,2,8,3,127,111,37,0,6,0,10,0,0,0,225,71,63,21,0,2,6,261,243,80,3,8,0,10,25,0,5,332
0,7,19706,11172,19745,19502,54,36,12,0,12,6,162,135,45,0,12,0,15,5,0,1,216,81,69,23,0,6,6,287,264,88,0,8,0,15,0,0,0,373
0,8,207,18420,13684,13088,40,33,11,0,4,3,132,117,39,0,0,0,15,0,0,0,177,61,51,17,0,4,6,165,135,45,0,14,1,15,5,0,1,226
0,9,26115,19426,359,11260,6,0,0,0,0,6,94,75,25,0,4,0,15,25,0,5,110,56,39,13,0,14,3,147,125,41,2,12,0,10,10,0,2,228
0,10,21058,30784,18140,12928,56,51,17,0,2,3,310,291,97,0,4,0,15,20,1,1,376,62,48,16,0,8,6,140,114,37,3,16,0,10,10,0,2,222
0,11,22222,21587,16265,23424,14,9,3,0,2,3,46,36,12,0,0,0,10,0,0,0,75,31,24,8,0,4,3,146,123,41,0,8,0,15,15,0,3,177
0,12,26537,22029,19411,20744,51,39,13,0,6,6,88,70,23,1,8,0,10,5,0,1,169,59,54,18,0,2,3,182,155,47,14,12,0,15,30,1,3,246
