Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,16205,21430,31000,26192,80,75,25,0,2,3,190,156,52,0,4,0,30,10,0,2,290,59,45,15,0,8,6,72,54,18,0,8,0,10,20,0,4,141
0,2,20153,21087,18996,23268,80,63,20,3,14,3,267,247,82,1,10,0,10,60,3,3,357,81,67,22,1,8,6,204,183,60,3,6,0,15,10,0,2,345
0,3,10136,13532,27570,24006,29,18,6,0,8,3,53,40,13,1,6,2,5,0,0,0,92,76,64,21,1,6,6,303,280,92,4,8,0,15,10,0,2,379
0,4,30030,19448,24966,20506,94,85,28,1,6,3,242,232,77,1,0,0,10,5,0,1,346,53,39,13,0,8,6,140,121,37,10,4,0,15,10,0,2,198
0,5,21502,6165,26949,7244,77,63,20,3,8,6,266,226,74,4,10,0,30,60,4,0,428,70,54,15,9,10,6,197,178,57,7,4,0,15,85,5,2,327
0,6,23232,22437,18142,20293,51,33,11,0,12,6,92,74,24,2,8,0,10,5,0,1,168,82,72,24,0,4,6,109,86,28,2,8,0,15,25,0,5,196
0,7,9707,10653,14712,24180,60,39,13,0,18,3,91,73,23,4,8,0,10,20,1,1,156,26,18,6,0,8,0,75,43,14,1,2,0,30,5,0,1,121
0,8,19571,3216,21982,14380,38,30,10,0,2,6,69,54,18,0,0,0,15,0,0,0,112,23,15,5,0,2,6,125,108,36,0,2,0,15,5,0,1,148
0,9,25316,11228,28338,31862,68,48,15,3,14,6,171,150,50,0,6,0,15,45,1,6,244,46,32,10,2,8,6,65,41,13,2,14,0,10,5,0,1,156
0,10,27628,7854,11525,15549,29,21,7,0,2,6,79,69,23,0,0,0,10,0,0,0,143,73,63,21,0,4,6,118,118,39,1,0,0,0,35,0,7,191
0,11,23511,14423,18908,23948,58,48,16,0,4,6,143,126,42,0,2,0,15,5,0,1,226,44,36,12,0,2,6,89,69,23,0,10,0,10,25,0,5,138
0,12,18264,19639,15083,25963,62,54,18,0,2,6,146,138,46,0,8,0,0,35,0,7,208,78,66,22,0,6,6,261,236,75,11,10,0,15,0,0,0,374
0,13,23435,32281,19213,9791,65,51,17,0,8,6,197,170,55,5,12,0,15,35,1,4,272,90,79,26,1,8,3,280,240,80,0,10,0,30,10,0,2,405
0,14,10984,31663,14450,30380,49,39,13,0,4,6,62,39,13,0,8,0,15,5,0,1,121,77,66,22,0,8,3,124,105,35,0,4,0,15,10,0,2,206
0,15,7244,20153,18142,21239,62,52,16,4,4,6,252,208,67,7,14,0,30,0,0,0,339,107,91,30,1,10,6,279,252,83,3,12,0,15,25,1,2,386
0,16,20506,16205,9707,28338,88,78,26,0,4,6,161,136,43,7,10,0,15,0,0,0,264,45,39,13,0,0,6,154,133,44,1,6,0,15,15,1,0,199
0,17,31862,6165,26192,24966,62,48,16,0,8,6,146,131,43,2,0,0,15,40,1,5,238,76,60,20,0,10,6,116,78,24,6,8,0,30,30,1,3,232
0,18,18996,30030,20293,14712,74,60,20,0,8,6,201,178,59,1,8,0,15,20,1,1,280,53,39,13,0,8,6,172,134,42,8,8,0,30,5,0,1,245
0,19,7854,23232,19448,19639,15,12,4,0,0,3,116,87,29,0,14,0,15,15,0,3,146,63,51,17,0,6,6,250,228,76,0,12,0,10,15,0,3,328
0,20,24180,14423,14380,18264,42,28,9,1,8,6,179,137,45,2,12,0,30,0,0,0,266,17,12,4,0,2,3,56,39,13,0,2,0,15,45,3,0,73
0,21,31000,3216,15549,13532,69,66,22,0,0,3,77,45,15,0,2,0,30,30,0,6,181,40,30,10,0,4,6,96,75,25,0,10,1,10,35,1,4,166
0,22,25963,10653,10136,31663,67,57,19,0,4,6,221,201,64,9,10,0,10,45,2,3,298,70,60,20,0,4,6,131,104,34,2,12,0,15,10,0,2,246
0,23,10984,27628,9791,19571,47,29,9,2,12,6,123,97,32,1,16,0,10,15,1,0,185,97,83,27,2,8,6,261,243,81,0,2,1,15,15,0,3,373
0,24,23511,15083,30380,11228,62,42,13,3,14,6,219,182,60,2,6,1,30,5,0,1,316,50,42,14,0,2,6,151,133,44,1,8,0,10,35,2,1,206
0,25,23268,27570,21430,22437,74,60,20,0,8,6,292,269,87,8,8,0,15,55,1,8,371,74,60,20,0,8,6,249,207,66,9,12,0,30,5,0,1,378
0,26,24006,11525,25316,19213,99,85,28,1,8,6,193,176,56,8,2,0,15,0,0,0,292,66,42,14,0,18,6,135,115,37,4,10,0,10,0,0,0,201
0,27,26949,32281,18908,21982,43,33,11,0,4,6,158,114,38,0,14,0,30,0,0,0,276,3,0,0,0,0,3,66,58,18,4,8,0,0,75,2,9,69
