Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,14270,23840,32240,4848,71,57,19,0,8,6,341,320,105,5,6,0,15,10,0,2,427,60,48,16,0,6,6,177,156,52,0,6,0,15,15,1,0,247
0,2,26820,18011,25707,7140,60,45,15,0,12,3,104,87,29,0,2,0,15,0,0,0,169,58,48,16,0,4,6,178,159,53,0,4,0,15,5,0,1,236
0,3,12649,23944,29999,25577,69,45,15,0,18,6,228,192,64,0,6,0,30,0,0,0,347,48,36,12,0,6,6,74,57,19,0,2,0,15,50,2,4,122
0,4,19779,15993,10477,30439,60,51,17,0,6,3,296,279,93,0,2,0,15,90,6,0,356,30,24,8,0,0,6,115,96,31,3,4,0,15,0,0,0,235
0,5,18225,5356,18858,8304,37,30,10,0,4,3,158,116,37,5,12,0,30,0,0,0,210,18,12,4,0,0,6,161,144,48,0,2,0,15,15,0,3,179
0,6,33033,13093,26907,23942,70,63,21,0,4,3,255,234,78,0,6,0,15,55,3,2,375,15,12,4,0,0,3,126,108,36,0,8,0,10,50,3,1,196
0,7,16377,32706,23524,23521,16,9,3,0,4,3,85,75,25,0,0,0,10,15,1,0,116,52,42,14,0,4,6,149,111,37,0,8,0,30,15,0,3,216
0,8,12611,28133,21229,16169,67,57,19,0,4,6,145,126,42,0,4,0,15,20,0,4,222,72,60,20,0,6,6,203,174,58,0,14,0,15,10,0,2,295
0,9,3565,15104,20625,11093,71,63,21,0,2,6,254,235,78,1,4,0,15,5,0,1,430,38,24,8,0,8,6,126,108,36,0,8,0,10,105,7,0,169
0,10,7149,11212,19652,27188,33,24,8,0,6,3,96,76,24,4,10,0,10,40,2,2,179,51,42,14,0,6,3,122,90,30,0,2,0,30,50,2,4,213
0,11,10298,19606,24018,17792,74,66,22,0,2,6,237,218,70,8,4,0,15,20,1,1,316,61,51,17,0,4,6,139,124,41,1,0,0,15,5,0,1,220
0,12,16473,28804,11347,28651,69,66,22,0,0,3,271,237,78,3,4,0,30,20,1,1,355,51,42,14,0,6,3,33,21,7,0,2,0,10,15,1,0,104
0,13,32736,26025,18227,3825,64,48,16,0,10,6,116,93,30,3,8,0,15,10,0,2,180,53,39,13,0,8,6,134,109,35,4,10,0,15,0,0,0,197
0,14,23918,23222,13201,23786,106,90,30,0,10,6,171,151,49,4,10,0,10,10,0,2,277,78,60,20,0,12,6,122,108,36,0,4,0,10,0,0,0,210
0,15,23524,14270,18225,23942,64,48,16,0,10,6,205,186,62,0,4,0,15,10,0,2,269,53,39,13,0,8,6,68,54,18,0,4,0,10,0,0,0,131
0,16,32240,23944,26820,23521,27,21,7,0,0,6,279,256,85,1,8,0,15,0,0,0,326,67,57,19,0,4,6,276,251,83,2,10,0,15,20,0,4,343
0,17,32706,28133,27188,10477,55,45,15,0,4,6,226,193,64,1,18,0,15,20,1,1,281,83,69,23,0,8,6,238,215,69,8,8,0,15,0,0,0,341
0,18,25577,13093,19779,16377,55,33,11,0,16,6,159,141,46,3,8,0,10,50,2,4,239,52,36,12,0,10,6,125,110,36,2,0,0,15,25,1,2,227
0,19,5356,30439,19652,11347,37,21,7,0,10,6,93,72,21,9,16,0,5,15,1,0,140,25,21,7,0,4,0,212,189,63,0,8,0,15,10,0,2,252
0,20,25707,19606,33033,11093,29,21,7,0,2,6,219,201,66,3,8,0,10,110,6,4,283,36,30,10,0,0,6,109,93,31,0,6,0,10,35,1,4,255
0,21,10298,13201,4848,3825,57,51,17,0,0,6,173,155,51,2,8,0,10,15,0,3,230,38,30,10,0,2,6,119,100,33,1,4,0,15,0,0,0,172
0,22,28804,32736,15993,12611,70,54,18,0,10,6,117,99,33,0,8,0,10,10,0,2,262,40,24,8,0,10,6,287,264,88,0,8,0,15,75,4,3,337
0,23,23786,23840,15104,16169,64,57,19,0,4,3,175,152,50,2,8,0,15,35,2,1,279,62,51,16,3,8,3,152,129,40,9,8,0,15,40,2,2,249
0,24,,26907,24018,11212,46,33,11,0,10,3,59,45,15,0,4,0,10,5,0,1,105,25,18,6,0,4,3,115,97,32,1,8,0,10,0,0,0,145
0,25,18227,29999,28651,7149,77,63,21,0,8,6,172,144,48,0,12,1,15,15,0,3,254,75,59,19,2,10,6,91,70,23,1,6,0,15,5,0,1,181
