Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,34103,23725,25290,28117,46,28,9,1,12,6,102,81,27,0,6,0,15,20,1,1,148,50,29,9,2,18,3,61,51,16,3,10,0,0,0,0,0,131
0,2,23138,,32760,28784,0,0,0,0,0,0,15,9,3,0,0,1,5,0,0,0,20,0,0,0,0,0,0,85,65,21,2,10,0,10,5,0,1,85
0,3,23727,23723,25289,25200,38,24,8,0,8,6,105,91,29,4,4,0,10,5,0,1,153,3,0,0,0,0,3,11,0,0,0,0,1,10,10,0,2,19
0,4,11052,34314,34351,34130,0,0,0,0,0,0,37,21,7,0,6,0,10,35,2,1,77,19,12,4,0,4,3,67,55,18,1,2,0,10,40,1,5,121
0,5,23138,23725,23723,34347,11,3,1,0,2,6,59,21,7,0,8,0,30,15,1,0,125,22,12,4,0,4,6,53,44,11,11,4,0,5,55,3,2,90
0,6,23727,28117,28784,34351,3,0,0,0,0,3,58,39,13,0,8,1,10,20,1,1,101,19,12,4,0,4,3,27,18,6,0,4,0,5,40,2,2,66
0,7,34347,34314,25200,25290,6,3,1,0,0,3,20,6,2,0,4,0,10,0,0,0,26,40,24,8,0,16,0,18,6,2,0,2,0,10,0,0,0,58
0,8,25289,11052,32760,34103,0,0,0,0,0,0,26,9,3,0,2,0,15,5,0,1,46,29,21,7,0,2,6,119,98,30,8,10,1,10,20,1,1,153
0,9,34130,34347,,23727,27,15,5,0,6,6,69,63,21,0,0,1,5,90,5,3,96,14,9,3,0,2,3,55,42,14,0,2,1,10,0,0,0,159
0,10,34351,32760,34103,25290,46,28,9,1,12,6,41,27,9,0,4,0,10,25,1,2,87,61,45,15,0,10,6,58,51,17,0,2,0,5,0,0,0,144
0,11,28784,25200,11052,23725,21,12,4,0,6,3,34,19,6,1,4,1,10,15,1,0,55,16,6,2,0,4,6,25,15,5,0,0,0,10,0,0,0,56
0,12,34314,23138,28117,25289,18,9,3,0,6,3,31,9,3,0,12,0,10,0,0,0,49,6,0,0,0,0,6,5,0,0,0,0,0,5,0,0,0,11
0,13,,34130,23723,34103,9,0,0,0,6,3,6,0,0,0,6,0,0,0,0,0,15,46,30,10,0,10,6,128,103,34,1,10,0,15,0,0,0,174
0,14,23725,32760,34314,23727,52,28,9,1,18,6,111,97,31,4,4,0,10,30,1,3,238,14,6,2,0,2,6,46,31,10,1,0,0,15,75,5,0,90
0,15,34347,28117,11052,23723,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,22,15,5,0,4,3,112,85,27,4,12,0,15,0,0,0,134
0,16,25290,25289,34130,28784,6,0,0,0,0,6,71,54,18,0,12,0,5,10,0,2,112,11,6,2,0,2,3,52,25,8,1,12,0,15,35,1,4,73
0,17,34351,,25200,23138,3,0,0,0,0,3,27,15,5,0,2,0,10,0,0,0,45,10,6,2,0,4,0,14,0,0,0,4,0,10,15,1,0,24
0,18,28784,23723,34103,34314,23,15,5,0,2,6,97,75,24,3,12,0,10,20,0,4,150,25,15,5,0,4,6,35,18,6,0,2,0,15,30,1,3,80
0,19,25200,34130,28117,32760,3,0,0,0,0,3,67,48,16,0,4,0,15,35,2,1,85,45,27,9,0,12,6,92,71,23,2,6,0,15,15,1,0,172
0,20,25289,34351,23725,,6,0,0,0,0,6,32,18,6,0,4,0,10,10,0,2,38,13,6,2,0,4,3,59,37,12,1,12,0,10,0,0,0,82
0,21,23727,25290,23138,11052,44,28,9,1,10,6,75,55,17,4,10,0,10,10,0,2,119,16,6,2,0,4,6,40,18,6,0,12,0,10,0,0,0,66
0,22,34103,28784,34347,34351,30,24,8,0,0,6,48,30,10,0,8,0,10,15,1,0,138,6,0,0,0,0,6,29,18,6,0,6,0,5,60,4,0,50
1,1,23725,32760,23727,34314,44,31,9,4,10,3,114,89,29,2,10,0,15,10,0,2,198,11,3,1,0,2,6,70,46,15,1,8,1,15,40,2,2,91
2,1,34103,23723,25290,11052,42,30,10,0,6,6,96,72,22,6,8,1,15,5,0,1,138,14,6,2,0,2,6,69,57,19,0,2,0,10,0,0,0,88
3,1,23727,34314,25290,11052,16,6,2,0,4,6,40,21,7,0,4,0,15,10,0,2,211,41,28,9,1,10,3,69,57,19,0,2,0,10,155,10,1,120
4,1,23725,32760,34103,23723,43,30,9,3,10,3,77,60,20,0,2,0,15,20,1,1,140,42,36,12,0,0,6,102,83,27,2,8,1,10,20,1,1,164
5,1,23725,32760,23727,34314,48,35,11,2,10,3,129,108,36,0,6,0,15,90,5,3,232,11,3,1,0,2,6,22,6,2,0,4,2,10,55,3,2,123
6,1,34103,23723,23725,32760,62,44,14,2,12,6,97,63,21,0,4,0,30,5,0,1,199,43,33,11,0,4,6,81,69,23,0,2,0,10,40,2,2,129
