Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,19117,19084,19116,19047,44,33,8,3,120,109,6,0,5,15,0,3,184,47,39,2,6,194,180,4,0,10,20,0,4,256
0,2,20965,19101,19053,19143,12,6,0,6,97,85,2,0,10,0,0,0,129,57,48,6,3,172,151,6,0,15,20,1,1,229
0,3,19056,22017,19043,22590,39,27,6,6,182,157,10,0,15,5,0,1,261,91,74,14,3,158,137,6,0,15,40,1,5,254
0,4,20936,23486,19088,19091,50,42,2,6,112,91,6,0,15,15,0,3,167,61,51,4,6,203,180,8,0,15,5,0,1,279
0,5,19098,21087,24032,19071,61,51,4,6,167,138,14,0,15,55,1,8,268,6,0,0,6,44,12,2,0,30,40,2,2,105
0,6,25538,21071,22941,19115,61,45,10,6,145,116,14,0,15,15,1,0,246,32,18,8,6,102,60,12,0,30,40,1,5,149
0,7,19139,19061,21455,19152,47,39,2,6,141,120,6,0,15,10,0,2,223,48,36,6,6,106,96,0,0,10,35,1,4,164
0,8,15996,21028,22586,25916,59,45,8,6,193,166,12,0,15,65,2,7,277,73,63,4,6,211,171,10,0,30,25,1,2,349
0,9,24310,20043,19062,15993,49,38,8,3,211,186,10,0,15,15,0,3,275,83,65,12,6,217,192,10,0,15,15,1,0,315
0,10,22114,19256,19234,20912,60,48,6,6,178,166,2,0,10,30,1,3,253,63,56,4,3,140,117,8,0,15,15,0,3,233
0,11,19120,21996,14278,19066,22,15,4,3,113,91,12,0,10,45,2,3,165,72,54,12,6,258,227,16,0,15,30,1,3,375
0,12,25871,19097,16166,26075,56,48,2,6,168,147,6,0,15,60,3,3,244,59,45,8,6,155,126,14,0,15,20,1,1,274
0,13,19091,21087,25538,19084,67,55,6,6,240,225,0,0,15,30,1,3,327,9,3,0,6,164,139,10,0,15,20,1,1,203
0,14,19061,22941,19056,21028,3,0,0,3,10,0,0,0,10,50,3,1,73,67,51,10,6,205,174,16,0,15,60,2,6,322
