Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,21476,20732,22226,19054,43,33,4,6,138,117,6,0,15,35,0,7,211,22,12,4,6,102,77,10,0,15,30,0,6,159
0,2,24345,24928,19085,20265,60,47,10,3,153,136,6,1,10,15,0,3,263,59,45,8,6,122,112,0,0,10,50,1,7,196
0,3,25225,14270,19079,19075,36,33,0,3,226,205,6,0,15,95,3,10,272,37,30,4,3,115,81,4,0,30,10,0,2,247
0,4,32868,19067,15989,19064,27,24,0,3,116,98,8,0,10,30,0,6,173,48,45,0,3,172,147,10,0,15,30,1,3,250
0,5,24033,19044,17713,19049,54,36,12,6,228,207,6,0,15,70,2,8,292,51,42,6,3,145,111,4,0,30,10,0,2,266
0,6,17965,24037,15991,19176,32,30,2,0,125,108,2,0,15,40,0,8,192,78,60,12,6,198,180,2,1,15,35,1,4,316
0,7,17962,23205,23161,12560,88,74,8,6,122,80,12,0,30,55,1,8,255,24,21,0,3,175,135,10,0,30,45,1,6,254
0,8,17861,19105,19082,24478,79,69,4,6,247,217,0,0,30,75,3,6,501,57,48,6,3,181,158,8,0,15,175,9,8,313
0,9,19121,19134,15972,19104,36,30,0,6,80,48,2,0,30,45,3,0,161,34,21,10,3,152,135,2,0,15,45,2,3,231
0,10,17873,19048,18338,22998,38,24,8,6,122,105,6,1,10,30,1,3,230,44,32,6,6,165,140,10,0,15,70,3,5,239
0,11,21031,19099,19112,19068,54,30,18,6,218,172,16,0,30,20,0,4,302,59,45,8,6,167,138,14,0,15,30,1,3,246
0,12,19141,17860,18160,24909,45,39,0,6,52,36,6,0,10,45,0,9,117,78,66,6,6,179,156,8,0,15,20,0,4,302
0,13,19085,17962,17713,15991,62,57,2,3,45,24,6,0,15,10,0,2,127,59,51,2,6,191,162,14,0,15,20,0,4,260
0,14,19044,19079,19067,22226,39,36,0,3,148,129,4,0,15,45,2,3,207,36,33,0,3,105,80,10,0,15,20,1,1,186
0,15,19049,21476,19105,24037,24,18,0,6,109,84,10,0,15,10,0,2,143,41,36,2,3,108,90,8,0,10,10,0,2,159
0,16,14270,22998,12560,15972,83,63,14,6,182,162,4,1,15,20,0,4,305,44,36,2,6,184,163,6,0,15,40,0,8,248
0,17,23161,18338,20265,19112,55,48,4,3,78,66,2,0,10,95,5,4,148,23,18,2,3,175,141,4,0,30,15,0,3,293
0,18,19176,19082,25225,17873,61,45,10,6,198,171,12,0,15,15,0,3,289,46,30,10,6,29,27,2,0,0,30,1,3,90
0,19,19048,24478,17965,24033,54,42,6,6,111,81,0,0,30,35,1,4,220,59,51,2,6,215,169,16,0,30,55,2,5,309
0,20,19099,19141,32868,19121,61,51,4,6,245,232,8,0,5,60,1,9,311,29,21,2,6,197,168,14,0,15,5,0,1,286
0,21,24345,19134,19054,24909,86,71,12,3,152,131,6,0,15,15,0,3,248,44,30,8,6,145,120,10,0,15,10,0,2,204
0,22,21031,19104,19075,15989,9,3,0,6,156,133,8,0,15,10,0,2,185,21,18,0,3,98,79,14,0,5,20,0,4,129
0,23,20732,19064,17860,17861,58,46,6,6,191,168,8,0,15,40,2,2,289,18,12,6,0,190,160,14,1,15,40,1,5,248
0,24,19068,18160,24928,23205,39,30,6,3,136,119,2,0,15,35,0,7,225,89,69,14,6,228,206,12,0,10,50,1,7,352
0,25,17873,12560,21476,19085,58,48,4,6,220,186,4,0,30,15,0,3,323,23,12,8,3,147,122,10,0,15,45,1,6,185
0,26,19082,15972,19044,23161,42,36,0,6,82,62,10,0,10,80,3,7,144,67,57,4,6,203,180,8,0,15,20,0,4,350
0,27,18338,15991,19054,25225,63,57,0,6,123,105,8,0,10,80,4,4,206,61,47,8,6,119,79,10,0,30,20,0,4,260
0,28,21031,32868,17965,24345,56,42,8,6,145,120,10,0,15,30,0,6,231,99,87,6,6,200,184,6,0,10,30,0,6,329
0,29,17962,20265,19067,20732,62,54,2,6,216,180,6,0,30,20,0,4,393,9,6,0,3,74,56,8,0,10,115,7,2,103
0,30,24928,24037,24033,22226,15,15,0,0,199,168,16,0,15,0,0,0,234,40,26,8,6,223,196,12,0,15,20,0,4,263
0,31,24909,17861,19104,22998,88,70,12,6,297,267,0,0,30,135,8,3,450,50,36,8,6,131,117,4,0,10,65,4,1,316
0,32,24478,19079,19068,19134,70,60,4,6,168,144,14,0,10,45,0,9,263,33,27,0,6,72,60,2,0,10,25,1,2,150
0,33,14270,19141,23205,19112,88,72,10,6,120,82,8,0,30,40,1,5,243,62,48,8,6,169,142,12,0,15,35,1,4,271
0,34,19176,19105,18160,19048,68,54,8,6,166,147,4,0,15,30,0,6,249,56,48,2,6,202,177,10,0,15,15,0,3,288
0,35,17860,17713,15989,19099,48,39,6,3,178,159,4,0,15,15,0,3,266,53,45,2,6,250,230,4,1,15,40,2,2,318
0,36,19075,19064,19121,19049,42,39,0,3,142,121,6,0,15,25,0,5,199,47,31,10,6,77,63,4,0,10,15,0,3,149
0,37,32868,21476,15991,19082,58,51,4,3,141,120,6,0,15,35,1,4,254,71,57,8,6,224,197,12,0,15,55,1,8,330
0,38,19067,19085,24037,21031,31,21,4,6,104,79,10,0,15,25,1,2,180,41,30,8,3,156,127,14,0,15,45,2,3,222
0,39,22998,20265,19141,24033,74,60,8,6,230,209,6,0,15,5,0,1,344,73,57,10,6,217,179,8,0,30,40,0,8,295
0,40,23205,17965,19134,17861,77,63,8,6,234,209,10,0,15,20,0,4,326,76,60,10,6,178,157,6,0,15,15,0,3,274
0,41,19112,24928,19105,17860,62,56,0,6,232,211,6,0,15,35,1,4,304,53,45,2,6,186,163,8,0,15,10,0,2,274
0,42,19079,19054,19064,17873,53,42,8,3,134,109,10,0,15,10,0,2,197,50,45,2,3,172,155,2,0,15,10,0,2,232
0,43,19049,24909,12560,24478,79,61,12,6,181,163,8,0,10,15,0,3,310,49,39,4,6,231,210,6,0,15,50,1,7,295
0,44,19104,19044,24345,20732,35,27,2,6,166,145,6,0,15,25,1,2,221,79,63,10,6,267,242,10,0,15,20,0,4,371
0,45,19099,23161,25225,19048,78,64,8,6,249,228,6,0,15,15,0,3,342,52,42,4,6,202,177,10,0,15,15,0,3,269
0,46,15972,18338,17713,19075,46,36,4,6,166,135,16,0,15,15,0,3,227,58,48,4,6,201,174,12,0,15,15,0,3,274
0,47,19176,19068,17962,15989,54,42,6,6,147,118,14,0,15,25,1,2,206,61,45,10,6,207,189,8,0,10,5,0,1,293
0,48,22226,19121,18160,14270,41,33,2,6,69,33,6,0,30,25,1,2,175,65,54,8,3,232,205,12,0,15,65,2,7,322
0,49,19085,19082,19112,24033,59,48,8,3,136,117,4,0,15,45,1,6,215,77,63,8,6,232,194,8,0,30,20,0,4,354
0,50,19054,19067,19104,19141,52,36,10,6,136,109,12,0,15,15,0,3,218,51,31,14,6,64,57,2,0,5,30,0,6,130
0,51,19049,24345,19048,19079,75,57,12,6,162,139,8,0,15,40,2,2,282,69,57,6,6,104,89,0,0,15,45,0,9,213
0,52,20265,17965,21476,19044,58,48,4,6,205,188,2,0,15,35,0,7,323,70,60,4,6,225,200,10,0,15,60,1,9,330
0,53,12560,15989,17861,24928,48,42,0,6,163,144,4,0,15,45,0,9,256,90,72,12,6,166,156,0,0,10,45,0,9,301
0,54,24909,23161,19121,17713,51,45,0,6,196,176,10,0,10,35,0,7,262,58,45,10,3,173,148,10,0,15,15,0,3,266
0,55,24478,17962,14270,19099,47,42,2,3,131,99,2,0,30,55,1,8,203,61,51,4,6,174,144,0,0,30,25,1,2,290
0,56,22226,32868,22998,19068,37,27,4,6,141,117,14,0,10,80,3,7,198,38,28,4,6,199,172,12,0,15,20,0,4,317
0,57,17860,19075,19134,19176,30,24,0,6,99,82,2,0,15,25,0,5,164,68,60,2,6,131,114,2,0,15,35,1,4,224
0,58,19064,19105,23205,18338,21,18,0,3,171,142,14,0,15,30,0,6,217,43,27,10,6,129,113,6,0,10,25,0,5,202
0,59,20732,25225,24037,15972,54,40,8,6,177,156,6,0,15,15,0,3,271,45,33,6,6,162,142,10,0,10,40,0,8,222
0,60,15991,18160,17873,21031,75,63,6,6,200,171,14,0,15,45,1,6,305,39,28,8,3,136,116,10,0,10,30,0,6,220
0,61,19048,19112,19044,19121,60,54,0,6,167,150,2,0,15,50,1,7,262,73,63,4,6,108,87,10,1,10,35,0,7,231
0,62,20265,17713,17861,32868,72,66,0,6,334,294,10,0,30,15,0,3,426,66,54,6,6,228,203,10,0,15,20,1,1,309
0,63,22998,19049,23161,19176,42,39,0,3,162,142,10,0,10,30,1,3,239,74,60,8,6,192,165,12,0,15,35,1,4,296
0,64,18338,19104,19082,17965,40,30,4,6,109,84,10,0,15,25,1,2,164,82,66,10,6,184,163,6,0,15,15,0,3,291
0,65,24033,23205,19099,19054,70,60,4,6,242,232,10,0,0,65,2,7,347,59,54,2,3,233,201,2,0,30,35,0,7,357
0,66,19105,12560,20732,21031,41,21,14,6,64,48,6,0,10,20,0,4,140,26,21,2,3,151,124,12,0,15,35,1,4,197
0,67,15989,15991,24478,24345,78,66,6,6,204,182,12,0,10,10,0,2,342,87,75,6,6,221,187,4,0,30,60,1,9,318
0,68,24037,18160,19079,17962,35,27,2,6,174,147,12,0,15,15,0,3,224,58,48,4,6,31,21,0,0,10,15,0,3,104
0,69,19068,17860,15972,19067,32,24,2,6,66,45,6,0,15,15,0,3,173,50,40,4,6,155,132,8,0,15,75,3,6,220
0,70,19134,21476,24928,14270,68,52,10,6,159,132,12,0,15,35,0,7,232,55,45,4,6,221,194,12,0,15,5,0,1,311
0,71,19064,25225,24909,19085,28,21,4,3,156,129,12,0,15,5,0,1,189,61,51,4,6,135,108,12,0,15,5,0,1,201
0,72,19075,22226,19141,17873,21,9,6,6,86,69,2,0,15,15,0,3,122,50,42,2,6,55,37,8,0,10,15,0,3,120
1,1,19099,17861,24928,19044,84,75,6,3,309,269,10,0,30,15,0,3,458,89,78,8,3,192,180,2,0,10,65,1,10,296
2,1,14270,20265,18160,24909,108,99,6,3,296,269,12,0,15,45,1,6,439,72,63,6,3,196,177,4,0,15,35,1,4,313
3,1,19112,17713,24345,23161,64,54,4,6,235,193,12,0,30,25,0,5,364,103,90,10,3,202,183,4,0,15,65,2,7,330
4,1,15991,15989,19176,12560,92,78,8,6,249,209,10,0,30,55,1,8,411,87,69,12,6,238,211,12,0,15,70,3,5,380
5,1,24928,19044,18160,24909,55,42,10,3,212,189,8,0,15,60,3,3,292,58,51,4,3,216,195,6,0,15,25,1,2,334
6,1,24345,23161,19176,12560,72,61,8,3,229,209,10,0,10,30,0,6,316,63,51,6,6,208,183,10,0,15,15,0,3,301
7,1,19099,17861,14270,20265,104,90,8,6,300,256,14,0,30,35,0,7,444,97,84,10,3,336,296,10,0,30,40,0,8,468
8,1,19112,17713,15991,15989,83,63,14,6,218,195,8,0,15,55,1,8,331,72,60,6,6,239,201,8,0,30,30,1,3,366
9,1,19099,17861,24345,23161,99,81,12,6,136,98,8,0,30,30,1,3,260,87,72,12,3,152,129,8,0,15,25,0,5,269
10,1,19112,17713,18160,24909,69,69,0,0,216,178,8,0,30,20,0,4,385,72,63,6,3,201,185,6,0,10,100,4,8,293
11,1,14270,20265,15991,15989,111,98,10,3,285,245,10,0,30,80,1,13,416,81,69,6,6,250,208,12,0,30,20,0,4,411
