Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,23393,31616,14525,9784,36,30,10,0,0,6,68,45,15,0,8,0,15,35,2,1,114,64,54,18,0,4,6,101,81,27,0,10,0,10,10,0,2,200
0,2,17094,23346,14493,16278,60,48,16,0,6,6,166,135,43,6,16,0,15,5,0,1,236,66,54,18,0,6,6,103,97,32,1,6,0,0,10,0,2,174
0,3,25627,18340,19819,26586,33,27,9,0,0,6,79,54,17,3,10,0,15,5,0,1,122,45,36,12,0,6,3,151,131,41,8,10,0,10,10,0,2,201
0,4,21316,16026,7854,23292,51,48,16,0,0,3,91,75,23,6,6,0,10,25,1,2,157,67,57,19,0,4,6,141,118,34,16,8,0,15,15,0,3,233
0,5,9614,20163,16533,23224,39,27,9,0,6,6,64,46,15,1,8,0,10,0,0,0,108,63,51,17,0,6,6,99,78,26,0,6,0,15,5,0,1,162
0,6,30592,25961,6165,25690,60,43,14,1,14,3,87,67,20,7,10,0,10,20,1,1,177,47,39,13,0,2,6,140,117,39,0,8,0,15,30,1,3,207
0,7,27621,31174,26401,27090,30,24,8,0,0,6,69,46,15,1,8,0,15,15,1,0,99,46,36,12,0,4,6,49,37,12,1,2,0,10,0,0,0,110
0,8,21454,18466,8375,5773,29,15,5,0,8,6,106,72,24,0,4,0,30,30,2,0,190,35,27,9,0,2,6,88,76,25,1,2,0,10,55,3,2,153
0,9,17094,16533,25627,14525,45,39,13,0,0,6,171,146,47,5,10,0,15,0,0,0,216,60,48,15,3,6,6,197,175,57,4,12,0,10,0,0,0,257
0,10,18340,9784,23346,9614,29,21,7,0,2,6,62,42,14,0,10,0,10,0,0,0,91,25,18,6,0,4,3,106,95,30,5,0,1,10,0,0,0,131
