Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,14323,13217,8625,3470,30,21,7,0,6,3,76,53,16,5,8,0,15,120,8,0,106,12,6,2,0,0,6,70,54,18,0,6,0,10,0,0,0,202
0,2,32646,29619,19639,16236,47,42,14,0,2,3,88,69,23,0,4,0,15,20,1,1,165,69,57,19,0,6,6,247,222,74,0,10,0,15,30,2,0,336
0,3,19505,26713,8381,25667,53,48,16,0,2,3,186,160,52,4,10,1,15,5,0,1,244,48,40,13,1,2,6,101,76,22,10,10,0,15,5,0,1,154
0,4,15385,7641,22297,8404,75,61,20,1,8,6,184,174,58,0,0,0,10,15,0,3,264,41,31,9,4,4,6,237,217,70,7,10,0,10,5,0,1,293
0,5,23287,21419,16481,12635,58,45,15,0,10,3,78,60,20,0,8,0,10,85,4,5,141,57,51,16,3,0,6,174,147,49,0,12,0,15,5,0,1,316
0,6,19862,30619,26216,23222,66,54,18,0,6,6,167,147,48,3,10,0,10,0,0,0,238,74,60,20,0,8,6,181,163,54,1,8,0,10,5,0,1,255
0,7,19896,26436,4345,26106,8,3,1,0,2,3,82,57,19,0,10,0,15,50,3,1,105,11,9,3,0,2,0,55,39,13,0,6,0,10,15,1,0,116
0,8,21227,14259,23642,23641,91,75,25,0,10,6,143,129,43,0,4,0,10,50,1,7,249,61,54,18,0,4,3,125,114,38,0,6,0,5,15,1,0,236
0,9,29619,14323,15385,19505,41,33,11,0,2,6,114,99,33,0,0,0,15,20,1,1,155,45,32,10,2,10,3,179,162,54,0,2,0,15,0,0,0,244
0,10,32646,23222,8381,21419,50,42,14,0,2,6,135,118,37,7,12,0,5,20,0,4,210,56,42,14,0,8,6,122,99,29,12,8,0,15,25,1,2,198
0,11,16481,7641,13217,30619,75,62,20,2,10,3,108,88,29,1,10,0,10,0,0,0,243,15,9,3,0,0,6,101,87,29,0,4,0,10,60,3,3,116
0,12,26436,19639,12635,26216,48,42,14,0,0,6,206,185,61,2,6,0,15,0,0,0,269,53,39,13,0,8,6,176,151,48,7,10,0,15,15,0,3,229
0,13,23642,3470,8404,4345,38,30,10,0,2,6,54,27,8,3,16,1,10,15,0,3,92,61,54,18,0,4,3,97,87,29,0,0,0,10,0,0,0,173
0,14,14259,8625,26713,19896,35,27,9,0,2,6,82,62,20,2,10,0,10,5,0,1,147,54,48,16,0,0,6,158,139,46,1,4,0,15,30,1,3,217
0,15,25667,16236,21227,26106,69,60,20,0,6,3,146,115,38,1,16,0,15,10,0,2,215,55,45,15,0,4,6,147,124,40,4,8,0,15,0,0,0,212
0,16,23641,19862,23287,22297,80,72,24,0,2,6,221,196,65,1,10,0,15,0,0,0,346,65,57,19,0,2,6,172,151,49,4,6,0,15,45,2,3,237
0,17,26216,16481,23642,32646,42,32,9,5,4,6,42,30,10,0,0,2,10,0,0,0,279,62,51,17,0,8,3,99,85,28,1,4,0,10,195,12,3,161
0,18,8381,19639,14323,7641,67,57,19,0,4,6,229,204,68,0,10,0,15,10,0,2,296,71,57,19,0,8,6,110,90,30,0,10,0,10,0,0,0,191
0,19,30619,12635,26106,19505,43,27,9,0,10,6,208,181,60,1,12,0,15,0,0,0,261,50,36,12,0,8,6,114,93,31,0,6,0,15,10,0,2,164
0,20,22297,23222,21227,13217,36,27,9,0,6,3,262,244,80,4,8,0,10,5,0,1,298,74,60,20,0,8,6,107,91,30,1,6,0,10,0,0,0,186
0,21,25667,4345,23641,8625,48,30,10,0,12,6,156,129,43,0,12,0,15,25,1,2,239,24,18,6,0,0,6,196,177,58,3,4,0,15,35,1,4,245
