Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,26982,22105,9266,12499,47,30,9,3,14,3,96,73,24,1,8,0,15,10,0,2,143,40,33,11,0,4,3,90,48,14,6,12,0,30,0,0,0,140
0,2,3848,3650,31800,24730,41,30,9,3,8,3,74,54,18,0,10,0,10,15,1,0,115,47,27,9,0,14,6,76,66,22,0,0,0,10,0,0,0,138
0,3,13084,10809,23280,23676,46,39,13,0,4,3,171,153,51,0,8,0,10,0,0,0,227,42,24,8,0,12,6,96,81,25,6,0,0,15,10,0,2,138
0,4,26235,31862,24029,23997,54,40,13,1,8,6,134,113,36,5,6,0,15,0,0,0,193,12,9,3,0,0,3,121,94,31,1,12,0,15,5,0,1,133
0,5,24111,6016,4262,8097,13,6,2,0,4,3,67,44,14,2,8,0,15,0,0,0,85,32,24,8,0,2,6,62,43,14,1,4,0,15,5,0,1,94
0,6,18263,23673,9892,18142,9,6,2,0,0,3,86,63,20,3,8,0,15,60,4,0,100,53,29,9,2,18,6,127,87,29,0,10,0,30,5,0,1,240
0,7,15097,32159,11212,12778,49,29,9,2,14,6,94,70,23,1,8,1,15,0,0,0,173,39,33,11,0,0,6,82,63,21,0,4,0,15,30,0,6,121
0,8,24218,5131,32811,14535,38,28,9,1,10,0,112,89,28,5,8,0,15,20,0,4,150,16,6,2,0,4,6,63,41,13,2,12,0,10,0,0,0,99
0,9,13089,7159,18365,31420,33,21,7,0,6,6,60,46,14,4,4,0,10,5,0,1,93,38,27,9,0,8,3,71,57,18,3,4,0,10,0,0,0,114
0,10,14338,26013,19743,24664,42,30,10,0,6,6,87,65,21,2,12,0,10,10,0,2,129,64,42,14,0,16,6,127,104,34,2,8,0,15,0,0,0,201
