Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Classified Artifacts,Red Auto Overflow Artifacts,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Classified Artifacts,Red Teleop Overflow Artifacts,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Classified Artifacts,Blue Auto Overflow Artifacts,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Classified Artifacts,Blue Teleop Overflow Artifacts,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,11992,21945,17994,11272,49,33,11,0,10,6,87,75,25,0,2,0,10,20,1,1,161,29,15,5,0,8,6,95,76,25,1,4,0,15,25,0,5,144
0,2,12014,6518,26897,22331,32,18,6,0,8,6,55,45,14,3,4,1,5,5,0,1,92,49,39,13,0,4,6,138,111,36,3,12,0,15,5,0,1,192
0,3,8578,26702,14596,24102,3,0,0,0,0,3,9,6,2,0,2,1,0,0,0,0,17,37,27,9,0,4,6,130,120,40,0,0,0,10,5,0,1,167
0,4,18174,32888,4366,26448,21,9,3,0,6,6,105,90,29,3,0,0,15,0,0,0,131,20,12,4,0,2,6,61,43,11,10,8,0,10,5,0,1,81
0,5,13414,14954,9864,21624,40,30,10,0,4,6,136,117,38,3,4,0,15,0,0,0,191,46,30,10,0,10,6,124,99,31,6,10,0,15,15,0,3,170
0,6,11329,8791,15455,19366,70,54,18,0,10,6,98,76,25,1,12,0,10,35,0,7,188,44,28,9,1,10,6,73,53,15,8,10,0,10,20,1,1,152
0,7,30458,13295,23912,32180,32,24,8,0,8,0,64,59,18,5,0,0,5,60,4,0,111,28,18,6,0,4,6,55,39,13,0,6,0,10,15,1,0,143
0,8,11992,9864,24102,4366,72,54,18,0,12,6,80,66,22,0,4,0,10,25,1,2,157,12,9,3,0,0,3,72,56,18,2,6,0,10,5,0,1,109
0,9,15455,17994,14954,26897,6,3,1,0,0,3,83,66,21,3,2,0,15,0,0,0,134,54,42,14,0,6,6,113,91,30,1,12,0,10,45,2,3,167
0,10,8791,12014,18174,30458,35,21,7,0,8,6,62,38,12,2,14,0,10,0,0,0,122,40,24,8,0,10,6,77,57,18,3,10,0,10,25,0,5,117
0,11,11272,8578,23912,13414,40,24,8,0,10,6,98,81,25,6,2,0,15,15,0,3,138,23,15,5,0,2,6,109,87,29,0,12,0,10,0,0,0,147
0,12,32888,26702,21945,11329,44,30,10,0,8,6,75,55,18,1,10,0,10,30,2,0,149,63,51,17,0,6,6,222,199,66,1,8,0,15,30,1,3,315
0,13,32180,14596,19366,6518,17,12,4,0,2,3,103,84,28,0,4,0,15,30,2,0,125,24,12,4,0,6,6,76,46,15,1,0,0,30,5,0,1,130
0,14,26448,13295,21624,22331,19,12,4,0,4,3,67,48,16,0,4,0,15,5,0,1,96,38,24,8,0,8,6,143,123,40,3,10,0,10,10,0,2,186
0,15,11272,30458,32888,15455,36,27,9,0,6,3,83,60,20,0,8,0,15,20,1,1,144,60,48,15,3,6,6,135,114,37,3,6,0,15,25,1,2,215
