Series,Match Number,Red1 Team Number,Red2 Team Number,Blue1 Team Number,Blue2 Team Number,Red Auto Score,Red Auto Artifact Points,Red Auto Pattern Points,Red Auto Leave Points,Red Teleop Score,Red Teleop Artifact Points,Red Teleop Pattern Points,Red Teleop Depot Points,Red Endgame Score,Red Foul Committed,Red Major Fouls,Red Minor Fouls,Red Final Score,Blue Auto Score,Blue Auto Artifact Points,Blue Auto Pattern Points,Blue Auto Leave Points,Blue Teleop Score,Blue Teleop Artifact Points,Blue Teleop Pattern Points,Blue Teleop Depot Points,Blue Endgame Score,Blue Foul Committed,Blue Major Fouls,Blue Minor Fouls,Blue Final Score
0,1,4886,15083,19897,16311,63,45,12,6,165,139,10,1,15,10,0,2,233,56,40,10,6,112,96,4,2,10,5,0,1,178
0,2,21438,31938,12977,20240,51,39,6,6,165,144,6,0,15,0,0,0,216,60,46,8,6,104,90,4,0,10,0,0,0,164
0,3,12456,22853,12313,16816,0,0,0,0,10,0,0,0,10,35,1,4,25,52,37,12,3,135,116,4,0,15,15,1,0,222
0,4,27082,16914,8114,21843,44,29,12,3,36,24,2,0,10,30,2,0,80,6,0,0,6,42,12,0,0,30,0,0,0,78
0,5,4707,22563,4008,3033,14,9,2,3,53,23,0,0,30,0,0,0,102,26,18,8,0,98,78,10,0,10,35,2,1,124
0,6,16816,24799,14524,4886,51,33,12,6,131,99,2,0,30,5,0,1,217,16,9,4,3,102,87,0,0,15,35,2,1,123
0,7,19897,12977,22853,22563,57,45,6,6,148,123,10,0,15,0,0,0,215,8,3,2,3,52,33,4,0,15,10,0,2,60
0,8,21843,12313,24799,31938,50,36,8,6,102,75,12,0,15,0,0,0,197,24,18,0,6,109,87,12,0,10,45,3,0,133
0,9,4008,12456,8114,20240,24,15,6,3,56,40,6,0,10,0,0,0,95,46,36,4,6,94,69,10,0,15,15,1,0,140
0,10,21438,15083,4707,16914,77,57,14,6,199,183,6,0,10,20,1,1,336,17,12,2,3,46,36,0,0,10,60,4,0,83
0,11,3033,27082,14524,16311,40,27,10,3,83,66,2,0,15,20,0,4,123,44,30,8,6,149,122,12,0,15,0,0,0,213
