Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,27570,123.6680,132.2715,29.2223,95.0940,7.9552
2,25832,128.0909,117.3889,18.2547,92.7474,6.3868
3,16093,124.6925,116.0296,28.4585,77.8284,9.7427
4,19705,131.4172,111.5661,29.8446,74.4009,7.3207
5,25720,125.6028,107.4072,30.2152,68.4520,8.7399
6,20106,110.6480,106.6130,19.9394,80.3062,6.3673
7,25787,116.8493,102.6262,25.8943,69.7959,6.9360
8,24667,101.5456,99.1834,28.9191,61.7177,8.5467
9,19581,106.2785,94.3589,28.1352,58.0840,8.1396
10,32009,95.4193,92.0552,24.9924,58.2072,8.8556
11,12527,72.1579,89.8937,4.5975,78.0881,7.2081
12,32528,122.2111,85.9517,31.0444,48.6009,6.3064
13,19613,107.6686,85.9235,30.7029,49.1026,6.1180
14,19681,92.6891,80.6000,19.8006,56.4175,4.3819
15,19682,77.6143,79.5320,27.6793,41.1401,10.7126
16,19683,93.9601,72.8963,23.1628,43.2813,6.4522
17,20827,97.2562,67.5421,15.4321,45.2792,6.8309
18,32477,61.5861,61.8549,23.7291,30.2164,7.9094
19,32534,67.6664,59.5173,18.5261,35.5504,5.4408
20,19914,80.1837,59.0563,19.2527,31.3602,8.4434
21,16095,94.6858,58.6909,22.9473,29.1179,6.6257
22,23267,81.9250,57.5899,15.7783,35.0427,6.7690
23,19730,59.4316,48.5473,10.7883,32.9362,4.8228
24,19597,41.3730,48.3639,11.2764,30.8555,6.2320
25,32237,57.1333,46.7963,4.7354,36.2022,5.8586
26,28103,57.4769,37.5536,18.7606,12.9216,5.8715
27,30066,41.1317,34.6038,10.2285,18.2604,6.1148
28,32537,100.8259,30.6967,7.1902,18.3397,5.1668
29,30613,32.7609,29.2244,2.7674,19.1733,7.2836
30,19759,46.6839,28.9535,8.0411,15.6158,5.2967
31,28660,46.6411,23.8181,12.7462,7.0641,4.0078
32,30753,27.3912,6.7484,5.5823,-2.4775,3.6436
