Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,24599,105.6976,103.5779,30.3236,68.3191,4.9352
2,19603,97.8524,94.3775,18.7693,70.4030,5.2052
3,19705,95.7962,90.4521,25.8157,57.7371,6.8993
4,24667,97.1308,90.3932,34.4790,49.7869,6.1273
5,19859,95.1766,85.1689,18.8780,58.9163,7.3746
6,30222,93.1636,82.5917,22.4218,52.4821,7.6877
7,24567,83.7328,81.4603,25.6505,48.9847,6.8251
8,24068,84.8540,80.5883,24.8018,49.7386,6.0478
9,24005,82.8135,80.4706,26.2867,47.5008,6.6831
10,25787,75.1106,75.1102,17.6159,52.0212,5.4731
11,19666,79.4587,74.4292,24.9174,44.3828,5.1289
12,31167,79.6472,72.4316,9.7834,55.3046,7.3436
13,19914,70.0733,65.5073,20.4959,36.0833,8.9281
14,9755,68.2036,64.2034,16.1097,41.7727,6.3211
15,25218,68.8860,63.6443,15.2640,42.0378,6.3425
16,19660,59.3754,60.9213,13.6548,43.0792,4.1873
17,21981,55.4572,55.4182,6.5661,42.7993,6.0528
18,26167,52.3081,50.7766,17.7732,26.6139,6.3896
19,24393,53.8073,49.5434,11.5661,32.6245,5.3528
20,22438,51.0198,48.4610,10.9485,33.2092,4.3033
21,28119,47.8848,45.7216,12.4797,28.6849,4.5569
22,23845,43.1781,42.1359,11.7608,25.5828,4.7923
23,30613,42.7493,39.6611,4.4305,28.0453,7.1853
24,19583,42.8972,38.7740,9.1493,24.4831,5.1415
25,29186,43.8869,36.7501,17.2361,14.8546,4.6594
26,19913,38.7032,36.7204,8.8415,22.4918,5.3871
27,19877,40.2388,36.3850,14.5212,14.7214,7.1424
28,31715,40.4176,36.0178,9.8702,20.6530,5.4946
29,31971,31.4223,32.7746,6.5483,19.3492,6.8771
30,28660,28.2767,26.6767,8.0159,15.0663,3.5945
31,27570,21.2361,23.2356,2.3693,17.3159,3.5504
32,31551,23.2892,20.9763,4.5292,12.9813,3.4658
33,28042,19.2835,18.7649,-0.5337,14.1827,5.1159
