Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,19606,150.7550,156.1446,31.3319,115.6618,9.1509
2,12527,138.4984,142.6929,43.8509,92.2962,6.5459
3,27501,141.4306,137.8551,29.4616,99.0598,9.3337
4,31167,156.8157,136.7368,39.7792,84.2972,12.6603
5,23687,149.7305,136.5043,32.4754,93.9383,10.0907
6,19660,156.3535,136.0362,30.9752,94.3934,10.6677
7,28119,140.0042,135.4345,23.2036,104.8554,7.3755
8,16093,134.0278,125.8631,30.1443,91.1566,4.5622
9,22389,134.7814,125.5184,29.3346,86.7410,9.4428
10,19681,151.0818,122.4197,26.4272,87.6220,8.3705
11,23845,139.8663,120.1556,29.8951,82.0949,8.1656
12,32009,125.4486,116.8297,34.1815,74.9187,7.7295
13,19859,149.6415,114.1736,18.7167,83.8858,11.5711
14,24306,141.7580,109.5464,28.0623,73.9329,7.5512
15,24667,134.0845,107.3096,33.4453,70.1834,3.6809
16,19683,113.6910,105.6040,26.9878,71.5835,7.0328
17,27571,116.0951,103.4474,27.0357,70.8520,5.5597
18,32008,126.6571,102.1358,27.8193,67.7053,6.6111
19,26167,107.6432,97.7890,22.7849,68.9211,6.0831
20,30613,94.4586,97.7672,19.4116,69.9905,8.3652
21,24567,109.7616,90.4303,28.6003,56.6371,5.1929
22,31596,99.2357,90.1528,12.9739,66.2230,10.9559
23,19965,89.3610,76.0382,16.3694,55.4505,4.2182
24,22406,89.3619,75.0103,22.8107,47.1149,5.0847
25,31715,61.9857,65.3454,12.5148,46.1722,6.6584
26,19601,82.6423,63.9558,19.5533,37.6377,6.7648
27,19612,64.3771,58.7418,27.5525,28.9991,2.1902
28,32333,70.8986,57.3514,18.1774,35.8222,3.3519
29,30794,43.5207,48.8182,18.3347,22.6769,7.8065
30,19726,39.7589,31.2210,8.8795,17.4813,4.8602
