Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,27570,157.2609,143.5311,38.5020,98.7395,6.2897
2,24068,157.0976,138.9551,27.5822,104.2045,7.1684
3,19600,147.9636,129.1128,32.8597,84.9141,11.3391
4,19682,128.1629,120.1218,26.0777,85.7554,8.2887
5,30319,124.4929,113.8478,15.3573,91.4472,7.0432
6,19705,121.4596,109.0908,36.6001,65.0574,7.4333
7,19665,117.9522,106.1360,18.8707,83.0940,4.1713
8,24599,111.8281,103.2468,35.1566,64.1075,3.9827
9,19608,103.0796,98.8800,19.2672,67.7195,11.8933
10,19613,124.1997,98.3551,34.3205,59.4370,4.5976
11,21981,90.7937,94.5974,29.6437,58.1447,6.8090
12,32528,118.6016,94.5221,23.0161,68.8087,2.6973
13,19666,94.3151,94.1635,27.0009,59.9154,7.2472
14,22404,133.6622,93.7573,22.8024,56.9275,14.0274
15,16095,90.9733,92.9022,25.3971,60.6557,6.8495
16,20827,86.8212,91.3874,26.0245,57.2718,8.0911
17,19914,81.1399,90.9286,34.6090,49.4307,6.8889
18,25720,94.7771,87.6843,22.9193,52.4558,12.3092
19,24005,94.1867,86.4483,21.6373,58.9227,5.8882
20,25218,114.2787,86.4438,23.1344,57.7522,5.5572
21,30676,111.8184,85.3787,22.0565,54.7230,8.5993
22,25787,128.4793,81.8686,17.5326,59.5589,4.7771
23,20106,70.2765,76.7709,13.3168,59.7053,3.7488
24,32235,73.5550,69.0845,17.4668,43.5609,8.0569
25,8347,64.0581,62.2465,21.4648,34.2431,6.5386
26,25832,80.5814,54.2512,5.0346,39.6876,9.5290
27,24393,72.4245,54.1540,14.6344,35.9632,3.5564
28,19605,63.2061,52.5572,10.1203,35.9008,6.5361
29,30222,58.5651,50.9556,6.5574,38.7689,5.6293
30,19797,55.8127,35.9597,10.0334,20.8250,5.1013
