Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,16093,132.7663,120.7857,26.1783,86.4469,8.1605
2,19612,93.6202,101.8995,29.8471,62.9037,9.1487
3,27648,110.6310,98.2285,20.6761,72.1369,5.4155
4,19683,106.9357,97.6197,30.7395,58.4537,8.4265
5,22406,89.2033,93.2875,23.6740,64.4754,5.1382
6,19608,95.1746,88.4393,33.0942,48.5340,6.8110
7,19682,133.5979,83.9889,21.4761,53.6716,8.8412
8,19600,100.0566,80.8576,25.4945,48.8699,6.4932
9,20827,84.1550,78.3796,22.2879,47.4868,8.6048
10,24005,60.6099,75.7806,30.9283,36.6549,8.1974
11,19797,81.5708,72.5808,17.5087,49.5698,5.5024
12,19965,101.5076,65.3398,18.8315,38.2292,8.2792
13,32333,84.9386,64.4940,22.9755,33.4402,8.0782
14,27650,99.1409,64.2801,20.9327,38.0308,5.3166
15,19913,75.3795,61.7772,22.5929,28.2081,10.9762
16,19726,61.4525,61.7424,4.8345,51.9529,4.9550
17,19725,75.6784,60.8958,20.8596,27.5443,12.4919
18,8347,52.2459,55.6908,20.6220,31.1098,3.9591
19,19602,75.4456,49.5219,24.5494,15.6392,9.3333
20,19605,77.0529,48.3801,11.6913,31.1051,5.5837
21,32198,41.2598,41.0252,13.6196,20.5994,6.8062
22,22385,66.6888,39.1881,18.5192,16.7663,3.9027
23,19730,49.5621,37.0224,9.2719,22.2703,5.4801
24,24551,61.1790,36.5198,7.8822,23.2540,5.3836
25,27573,40.9122,35.3451,15.9640,8.5354,10.8457
26,30066,43.8714,33.4047,16.9818,10.9876,5.4353
27,22715,39.0016,32.4466,8.0222,19.2663,5.1580
28,19585,42.6024,29.5499,12.8920,15.2871,1.3708
29,19656,55.0505,27.3210,6.0831,14.6143,6.6236
30,32479,21.7950,20.6716,7.5995,6.1950,6.8771
31,22454,26.5497,20.5753,1.3704,14.0821,5.1228
32,28767,38.9354,20.2829,15.1715,4.5477,0.5637
33,28770,18.2928,17.4861,8.2365,5.0080,4.2416
34,30753,38.3330,14.4377,7.4966,1.5199,5.4213
