Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,24599,149.9748,138.1265,41.9128,86.9778,9.2359
2,16095,148.6967,127.0336,30.2145,88.7600,8.0591
3,22389,147.4917,123.4470,33.8086,79.5505,10.0879
4,25720,118.0021,115.7953,27.0547,81.6780,7.0627
5,19666,134.7571,110.8824,34.1719,65.2568,11.4536
6,27648,122.8548,104.9508,21.2522,76.6214,7.0772
7,30676,101.9402,104.2405,30.3625,70.1000,3.7780
8,19605,110.8241,104.0554,24.6444,71.7876,7.6233
9,32009,119.5313,99.1573,23.1912,68.6944,7.2717
10,19419,122.6666,96.3784,25.2532,59.7625,11.3627
11,23845,108.6638,95.6911,21.3614,66.9670,7.3627
12,27501,97.8027,93.0731,22.2419,59.8120,11.0192
13,12527,94.7814,90.0779,23.3631,59.0262,7.6886
14,24393,96.7230,87.4645,23.9824,52.6841,10.7981
15,32008,95.4533,83.1235,23.2777,52.9324,6.9133
16,19395,95.1253,81.7145,17.6003,60.3018,3.8124
17,19601,95.1259,81.4173,27.6225,47.9904,5.8044
18,24306,112.6173,80.6472,12.9244,61.4841,6.2387
19,19965,81.7181,80.3320,15.0421,58.6917,6.5981
20,8347,76.3033,75.4670,16.7336,48.5252,10.2082
21,22406,76.1969,73.8052,22.5836,45.1007,6.1209
22,27571,82.2579,70.3001,11.7904,51.6242,6.8856
23,19725,67.6665,66.5045,23.3877,37.2158,5.9010
24,32235,75.1942,65.8959,17.0268,39.9494,8.9197
25,19600,80.4296,64.7355,17.1555,39.5237,8.0563
26,22404,90.2587,63.4642,23.6769,31.3315,8.4557
27,32238,66.4140,54.8911,16.0603,30.4617,8.3691
28,27650,63.0213,50.0355,19.2682,27.0206,3.7467
29,12630,67.5517,49.9488,11.2950,27.1406,11.5132
30,30319,72.3799,48.5589,7.2625,32.2330,9.0634
31,22232,51.7272,48.4155,10.8084,31.1166,6.4905
32,19392,45.2357,45.1734,16.1311,26.4191,2.6232
33,30844,51.7713,41.3008,17.9714,19.7303,3.5991
34,16107,33.1633,37.9015,10.6931,23.7030,3.5053
35,19726,24.3799,32.6549,5.2439,24.4122,2.9988
36,27573,25.3284,31.5164,17.3124,10.7831,3.4209
37,26296,33.4982,26.9319,7.9999,17.6202,1.3118
38,22715,29.3213,26.5592,10.4592,12.5893,3.5107
39,31558,5.7520,19.5061,10.6630,5.8518,2.9913
