Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,17861,229.9759,212.1379,46.4622,153.3911,12.2846
2,19066,224.3745,210.1804,49.7702,152.6901,7.7201
3,11329,208.3706,197.2136,49.1773,140.6457,7.3907
4,8680,206.2788,196.0465,48.7508,141.3910,5.9047
5,14631,206.1834,191.6694,40.2115,136.4469,15.0109
6,27674,197.3040,186.8914,36.9307,143.6830,6.2777
7,10084,189.6440,185.8343,42.7743,136.0496,7.0104
8,9879,196.6815,183.2851,46.0762,128.9325,8.2764
9,21936,180.6740,174.6114,44.6761,120.0853,9.8500
10,10255,163.2767,164.3452,39.7025,119.4760,5.1667
11,506,170.1213,161.4355,32.2916,116.8244,12.3196
12,16236,179.6308,158.6434,32.3520,119.4832,6.8082
13,6962,173.7155,158.0113,36.4022,110.9347,10.6744
14,29029,157.7313,154.5308,30.8286,121.5761,2.1261
15,24751,148.8572,143.3692,52.0372,87.1071,4.2249
16,6133,146.5025,143.3270,32.8854,101.6121,8.8295
17,12331,156.9388,142.7666,28.2072,105.0721,9.4873
18,16917,162.4292,142.1350,34.0080,98.3953,9.7317
19,1002,142.1985,140.2494,25.1657,106.3667,8.7170
20,14525,146.7843,138.2503,26.1550,102.6530,9.4423
21,23623,139.2784,133.9257,33.9498,93.8461,6.1299
22,13100,141.6611,133.0670,37.9204,85.0964,10.0502
23,23305,141.7838,128.1942,24.0803,96.8981,7.2158
24,11444,130.6520,126.7676,25.0963,93.4443,8.2270
25,365,139.8223,126.0152,24.0945,89.4211,12.4996
26,9808,128.8845,122.3998,24.1975,91.6208,6.5815
27,19500,126.2875,122.2891,25.1629,87.6676,9.4586
28,19498,121.9918,119.5589,32.2312,83.5184,3.8093
29,22105,122.4601,118.9103,37.2992,72.5681,9.0430
30,23504,120.6551,118.7588,31.2551,83.8884,3.6153
31,20131,123.6691,118.0664,33.3069,79.2449,5.5146
32,15668,128.8389,116.0697,26.6018,83.2076,6.2602
33,24090,122.2224,112.1705,31.9940,74.2552,5.9212
34,25957,117.6102,107.3164,29.2845,72.2936,5.7383
35,10138,114.6960,107.3119,29.7267,68.7465,8.8387
36,21225,112.8411,106.4585,23.6663,71.8440,10.9482
37,20515,114.3465,105.9289,22.6416,73.0857,10.2016
38,19955,118.5884,103.1515,28.0696,70.6632,4.4186
39,17288,119.2106,103.0797,30.0151,62.7414,10.3233
40,7477,107.1392,98.6903,27.9311,66.2030,4.5563
41,14204,109.1917,97.8289,18.2772,75.0911,4.4606
42,24219,109.2939,97.4238,16.9192,71.4279,9.0767
43,5237,98.2238,95.8139,27.1625,62.8610,5.7904
44,26089,98.1062,89.6611,30.4373,53.1810,6.0427
45,14954,98.8375,83.3554,22.9240,52.9933,7.4381
46,13375,74.4821,76.2193,20.7044,48.1764,7.3386
47,6093,84.2899,73.1047,19.8044,44.1442,9.1561
48,23350,81.1488,67.7752,21.3269,37.5546,8.8937
49,23396,76.0593,60.3432,11.1567,40.4792,8.7073
50,18185,69.3494,56.9586,15.5261,36.6171,4.8153
51,26501,78.2180,51.5986,11.7143,36.7532,3.1311
52,19956,51.9224,48.7470,8.5987,32.0892,8.0591
53,18240,49.2885,46.0661,18.9668,20.0795,7.0198
54,18650,32.7227,26.1576,5.5398,15.5265,5.0912
55,26064,33.4081,22.0867,13.4369,2.6176,6.0322
56,22755,15.0298,9.9934,6.1244,-1.2100,5.0789
57,22471,9.8034,1.8735,4.3879,-8.7261,6.2116
