Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,20871,216.8933,203.2420,60.6147,134.3092,8.3181
2,11511,184.0468,181.3669,43.6052,128.3254,9.4362
3,27501,193.2627,174.9750,37.6363,127.4375,9.9012
4,8803,171.6585,174.3071,47.6278,117.8140,8.8653
5,18221,196.4437,165.0242,42.2540,110.7539,12.0163
6,14906,167.0826,162.8472,34.8787,118.2790,9.6895
7,32728,170.7785,160.5850,36.7587,115.8148,8.0115
8,24253,169.0117,160.2809,43.8027,110.3618,6.1164
9,8393,236.1308,157.2882,39.1612,109.1680,8.9591
10,25650,154.2419,155.4803,40.5439,107.6936,7.2429
11,24064,176.7257,154.9349,30.0290,116.8317,8.0742
12,30110,166.0097,150.8379,39.7221,102.5829,8.5329
13,10949,154.1076,150.3974,33.3056,110.7905,6.3012
14,18763,152.3259,148.6857,37.9264,101.1259,9.6334
15,19862,145.0219,138.3598,42.5218,89.0439,6.7942
16,28061,144.9541,137.0053,29.7523,101.7587,5.4943
17,30435,140.7819,132.2292,24.8763,100.3322,7.0206
18,24799,123.3844,132.0003,31.2212,92.3830,8.3961
19,14841,140.0821,131.0815,40.3460,83.4621,7.2734
20,21305,143.6218,130.2416,31.8023,91.4493,6.9900
21,7253,148.3732,130.0322,31.7081,88.1712,10.1529
22,24089,139.1930,127.7964,34.4667,82.3804,10.9493
23,27572,134.8494,126.2032,22.2374,97.7593,6.2065
24,19819,135.7152,125.9182,29.7701,93.0652,3.0829
25,18255,183.6700,118.2976,34.1845,78.4861,5.6270
26,26073,119.9629,117.4476,25.6248,84.9310,6.8917
27,4102,120.6013,113.9378,33.7297,73.8537,6.3543
28,16417,118.7091,112.0379,27.2717,79.9262,4.8400
29,8565,120.3007,109.7275,26.3036,71.9804,11.4435
30,18108,109.6926,105.0421,29.1978,69.5956,6.2487
31,24906,103.7903,105.0166,38.7824,59.7271,6.5071
32,8492,99.6177,101.3895,27.1122,68.5245,5.7529
33,26960,112.3892,99.5502,31.8385,58.3741,9.3376
34,11148,101.7410,99.3805,26.3080,68.6067,4.4657
35,15297,95.6968,96.0634,25.8312,63.8279,6.4042
36,17755,99.8697,92.3228,32.8103,51.2421,8.2704
37,12887,88.3602,88.5546,34.9080,50.2516,3.3949
38,9876,95.5700,87.7730,19.0177,64.1584,4.5968
39,10355,92.3695,86.1990,24.0794,49.5820,12.5376
40,23392,86.7440,83.4660,14.2832,63.9169,5.2659
41,16818,104.9051,81.2244,11.5508,59.6768,9.9968
42,25171,87.8771,78.5828,22.6843,42.4415,13.4570
43,23264,88.5326,77.9949,12.9986,57.9336,7.0627
44,25631,107.7195,77.2023,21.2947,45.8768,10.0308
45,25584,89.6953,75.0845,25.8842,42.1997,7.0005
46,21036,76.5366,74.2509,24.6593,43.1149,6.4767
47,25153,84.7187,72.3605,21.9880,44.7427,5.6298
48,10016,81.5503,70.8410,14.7958,43.8077,12.2375
49,34063,89.7339,69.8319,17.1279,47.2732,5.4307
50,701,61.6231,57.6346,11.3401,40.6092,5.6853
51,6437,64.3171,53.3459,21.3745,26.1807,5.7907
52,24331,40.6598,43.5677,19.6741,17.4231,6.4705
53,10015,69.4326,40.9415,4.0103,26.1266,10.8046
54,15527,48.9402,38.6861,16.2486,19.4015,3.0359
55,9999,32.1820,29.2577,9.5209,16.9509,2.7860
56,27679,36.9649,24.1493,7.0632,13.3830,3.7031
57,24804,34.1187,22.5736,18.6559,-3.0196,6.9373
