Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,15991,223.2569,221.4460,59.8475,154.3327,7.2658
2,12682,228.5725,213.8691,46.4788,157.3399,10.0504
3,20265,225.9199,210.3232,51.3662,145.0060,13.9510
4,25943,216.1268,206.6720,45.4071,152.0424,9.2226
5,15996,204.8619,199.2265,49.6732,142.5932,6.9601
6,15534,189.1359,180.6461,43.6559,130.6137,6.3765
7,26000,185.0820,179.1859,48.9111,124.3937,5.8811
8,10809,189.2217,178.2603,51.3196,117.6546,9.2862
9,24697,178.8520,169.9854,33.5358,131.0451,5.4045
10,25620,172.8623,166.2899,35.7384,126.3763,4.1752
11,22985,168.6563,162.2147,45.6857,111.5700,4.9590
12,18270,171.9300,160.3235,36.2871,117.3539,6.6825
13,772,157.9126,152.2721,25.3777,120.4738,6.4206
14,19376,158.1039,143.2480,43.5150,91.7454,7.9876
15,25576,149.0542,138.3812,27.6070,99.7697,11.0045
16,12313,141.5775,138.0360,40.9797,87.6429,9.4133
17,6272,156.3077,137.6423,37.0161,89.5593,11.0669
18,23619,148.2696,136.0824,27.8457,99.4414,8.7952
19,23849,147.7881,132.4026,42.1458,86.8472,3.4096
20,12808,149.2726,131.6720,35.8602,92.2950,3.5169
21,5026,134.6237,130.8565,15.5716,110.6132,4.6717
22,18139,125.8410,119.6472,34.4078,77.4707,7.7687
23,23532,131.8719,119.5288,26.4850,80.8788,12.1651
24,25209,126.5892,116.1615,45.9796,66.7232,3.4587
25,14596,119.1991,113.8981,23.5796,83.5864,6.7321
26,9567,116.9140,113.4715,21.8515,84.4373,7.1827
27,17257,116.7376,113.3415,24.5853,81.5266,7.2295
28,31978,123.1596,113.0970,26.0195,79.1281,7.9494
29,27772,125.5542,110.9019,29.9245,71.6285,9.3489
30,10104,113.0874,108.7402,25.4153,74.4217,8.9031
31,22156,111.7520,102.1653,26.8637,69.1363,6.1653
32,16010,111.5012,100.6488,30.5950,63.7755,6.2783
33,7172,101.9633,96.5138,34.8465,59.3490,2.3183
34,25039,93.2086,89.3223,28.4953,55.6374,5.1896
35,33611,97.5064,88.0147,9.8982,72.2506,5.8659
36,25609,92.5958,84.4557,22.2949,54.7758,7.3849
37,6417,91.7329,82.8153,16.9146,59.6513,6.2494
38,21536,85.1746,78.5882,23.9197,48.1870,6.4815
39,3189,82.3745,75.7815,19.9391,45.8382,10.0042
40,8721,82.1529,75.5630,21.9735,47.1911,6.3983
41,14503,77.5139,73.5072,23.6856,40.3500,9.4716
42,23842,81.8942,72.1818,24.4968,39.6968,7.9882
43,26908,75.2779,69.2841,23.7549,41.4696,4.0597
44,23292,77.1129,66.0125,30.1127,29.5752,6.3246
45,23250,68.2607,64.3320,18.6697,38.1552,7.5071
46,25049,68.9921,63.1755,7.4599,48.1891,7.5266
47,20240,58.6403,59.6548,3.3670,49.1979,7.0898
48,16076,57.6238,57.4687,12.8085,37.9577,6.7025
49,4964,59.6793,50.3544,7.1699,36.2381,6.9464
50,16008,58.9530,44.0953,19.0074,17.9390,7.1489
51,10309,40.2440,35.5473,13.5186,16.2514,5.7773
52,4133,41.6365,34.9764,5.5875,23.7399,5.6491
53,12272,48.2428,34.9568,13.9198,13.7064,7.3307
54,7288,23.0395,19.6630,17.3684,-3.7940,6.0886
55,33490,20.5226,11.0194,13.6443,-7.2236,4.5988
56,16617,13.8603,-7.1006,-0.8885,-20.0807,13.8686
