Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,19564,248.2587,239.9755,67.3781,165.1046,7.4929
2,30784,232.7188,228.7781,40.1833,180.4716,8.1232
3,26112,216.5904,206.9783,44.6041,155.9059,6.4682
4,19660,222.9018,204.2708,58.5064,134.5387,11.2257
5,19705,214.6108,202.2130,53.8251,137.3483,11.0395
6,21058,210.1506,196.0721,43.1944,145.3434,7.5343
7,11260,214.0280,194.7916,48.5257,138.2387,8.0272
8,19745,204.9775,193.7255,43.5679,143.0237,7.1339
9,23286,213.7849,185.7646,49.1281,123.9939,12.6425
10,19013,191.2291,182.5133,52.7139,119.9586,9.8409
11,4410,173.3091,176.6120,51.7488,118.0065,6.8567
12,13684,168.0335,165.6865,37.9718,120.3798,7.3349
13,21380,181.5175,164.8214,33.4789,123.1189,8.2236
14,24070,164.0712,160.4639,40.3886,112.2966,7.7787
15,18420,176.9740,158.4388,46.4903,104.4153,7.5332
16,10435,168.2170,152.4498,33.3390,109.6888,9.4219
17,25780,140.3366,138.1845,27.9056,105.2569,5.0220
18,11172,159.5788,136.4586,31.0723,97.1396,8.2467
19,19411,155.7019,136.2538,37.8511,90.2117,8.1909
20,25619,147.2873,136.0250,36.8687,92.5866,6.5697
21,26914,154.5345,134.7298,28.1712,102.0978,4.4608
22,22029,138.7350,132.7530,41.2261,83.6476,7.8793
23,23213,142.1941,129.6250,39.8660,79.5731,10.1858
24,19502,139.9676,128.7363,38.3940,78.4165,11.9257
25,23224,131.3822,119.4630,31.2507,82.7161,5.4962
26,19163,118.9414,118.0716,26.3091,81.1406,10.6219
27,12599,123.3043,117.4235,34.8893,76.8099,5.7244
28,9415,117.4045,116.1604,33.6976,74.9893,7.4735
29,12928,126.0089,114.7565,42.7179,64.2650,7.7737
30,26744,116.0542,111.0433,22.7868,79.7850,8.4715
31,21587,117.5634,110.4759,17.1555,84.8673,8.4530
32,11225,111.9082,107.8304,28.5503,73.7137,5.5665
33,19836,136.2917,105.5186,33.5100,67.6368,4.3718
34,3747,103.6041,104.7921,25.5709,72.8052,6.4160
35,23417,110.1096,101.3888,25.6947,66.6956,8.9985
36,25528,102.2800,101.3121,28.5145,71.1746,1.6230
37,13088,102.2817,98.0366,23.7845,68.2456,6.0064
38,26100,104.0396,94.1309,18.9571,69.1103,6.0634
39,30393,88.1003,88.5993,29.5749,52.9098,6.1146
40,18140,100.0224,87.7640,22.8604,57.2034,7.7002
41,19706,81.1158,79.4470,34.2656,36.2921,8.8893
42,22377,103.3921,76.3471,19.0308,51.5585,5.7578
43,23424,75.2202,76.1074,22.6002,48.0760,5.4312
44,5477,75.5898,72.7774,20.4201,43.0300,9.3273
45,19426,73.7789,70.4522,10.3874,53.0850,6.9798
46,20744,71.1925,70.3708,17.1360,49.0102,4.2246
47,207,71.0654,68.6070,19.9216,43.4806,5.2048
48,359,71.8042,68.0468,21.1225,40.5562,6.3680
49,11308,69.5069,64.9196,24.0546,35.1784,5.6866
50,26115,66.8348,59.6533,4.1800,44.6511,10.8222
51,9848,75.7732,51.9013,21.0963,24.4486,6.3564
52,16265,75.6195,50.9862,8.5316,33.1316,9.3230
53,28028,55.5679,43.9612,13.8760,26.1204,3.9648
54,26537,51.2761,34.9905,9.6942,20.2727,5.0236
55,22222,19.3902,-2.5437,4.1569,-13.7277,7.0271
