Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,27570,204.9595,201.7777,47.8519,143.2137,10.7122
2,30030,187.6791,186.6841,51.5124,127.7528,7.4189
3,20153,185.5377,178.0532,42.0833,123.9072,12.0627
4,24006,181.5742,176.0475,42.8934,126.9244,6.2297
5,21239,181.2606,174.4245,44.2625,122.0261,8.1359
6,23435,177.2387,171.2240,55.2622,108.7840,7.1778
7,9791,181.0334,168.8167,55.6194,108.2145,4.9828
8,25963,168.7285,165.6220,39.9085,119.4837,6.2298
9,15083,171.3698,164.7248,37.4750,116.9450,10.3047
10,23268,171.9595,158.0614,41.6852,110.7956,5.5806
11,21502,172.9328,154.5617,33.6616,108.9666,11.9335
12,18996,162.7568,147.7255,37.1816,102.2723,8.2715
13,11228,152.4352,146.5856,38.3434,102.0674,6.1748
14,7244,159.1602,138.8037,24.6626,103.2239,10.9172
15,11525,152.2057,137.7847,45.9564,83.8427,7.9856
16,18142,143.6389,136.5231,43.4029,85.7553,7.3649
17,21430,139.0111,135.1691,35.1921,88.1432,11.8338
18,19213,136.7313,134.6085,32.2896,96.0943,6.2246
19,26949,153.2698,132.7735,29.0644,94.4048,9.3044
20,23511,137.1805,125.8785,40.7358,77.8406,7.3022
21,21087,132.7013,120.6512,42.0409,72.6549,5.9554
22,19639,125.2576,119.1705,35.1630,79.3703,4.6373
23,6165,127.7970,118.8335,41.2413,68.6329,8.9593
24,20293,124.3631,118.4972,41.9493,70.3851,6.1627
25,21982,127.1567,117.2681,26.8922,81.8573,8.5185
26,20506,117.4852,117.2497,29.6226,78.5663,9.0609
27,19571,119.9118,116.3796,35.5878,73.7239,7.0679
28,15549,116.9636,110.0586,29.8099,73.5165,6.7323
29,22437,123.2102,109.4519,28.2931,71.3115,9.8473
30,19448,129.0210,108.6044,30.2293,73.3034,5.0717
31,24180,115.4880,102.4891,27.3280,63.5417,11.6194
32,14423,112.6295,100.8791,24.7792,64.7781,11.3218
33,31862,116.1438,99.4371,33.4619,59.6201,6.3551
34,16205,112.4212,95.6581,33.3107,52.3449,10.0025
35,14712,114.0170,93.4698,17.1552,64.9303,11.3842
36,25316,100.9306,89.6986,26.9211,54.9239,7.8536
37,10653,102.8962,88.6795,25.6002,57.7321,5.3473
38,7854,94.0838,86.7163,8.5088,70.6696,7.5379
39,10136,96.7465,86.2976,25.3615,53.3638,7.5723
40,14450,93.5283,86.1316,42.0881,34.3770,9.6665
41,31663,92.6184,80.5836,32.4836,41.5999,6.5001
42,3216,105.5419,80.0997,24.4972,42.1494,13.4531
43,28338,90.8760,78.8395,20.6905,52.3742,5.7748
44,18908,79.9730,76.7136,16.8729,56.1691,3.6715
45,9707,83.2984,76.1863,23.5529,48.3849,4.2485
46,30380,88.3297,75.1291,24.8689,43.5034,6.7568
47,24966,90.4913,73.4811,15.4401,51.0213,7.0196
48,27628,79.4608,71.1528,29.9228,35.1132,6.1168
49,26192,78.1442,69.8782,24.8829,37.5858,7.4095
50,32281,85.2941,69.7885,17.2762,42.6553,9.8570
51,31000,78.1720,68.9494,25.0376,36.8546,7.0571
52,10984,65.9318,61.4407,11.8043,43.6645,5.9720
53,18264,55.4841,55.5334,15.1420,35.8189,4.5725
54,23948,64.7466,43.6069,17.1060,18.9551,7.5458
55,14380,52.5449,39.1905,7.0810,22.1319,9.9776
56,23232,44.5196,39.0027,13.3703,21.3187,4.3136
57,13532,28.7203,22.3698,6.1318,11.1631,5.0748
