Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,14270,241.1840,238.2474,51.5181,180.1950,6.5343
2,15993,221.7408,217.5254,41.4852,168.4080,7.6323
3,3565,219.8833,203.9081,57.4844,139.3941,7.0296
4,23521,210.1163,193.6322,40.4416,142.7739,10.4167
5,21229,204.7120,189.7727,47.6870,131.2448,10.8408
6,16473,182.5651,176.8475,40.9022,120.1410,15.8042
7,18227,179.9862,168.4079,43.6111,118.5574,6.2394
8,10298,164.3771,168.3071,38.1713,122.5908,7.5451
9,18858,164.4181,161.4846,42.1751,109.9331,9.3765
10,32240,176.4563,160.0545,29.3658,121.0039,9.6848
11,23944,168.7050,156.9071,37.1689,110.2655,9.4727
12,12649,163.7020,156.2875,33.0774,114.3921,8.8180
13,25707,153.3784,154.7839,33.0383,114.1428,7.6028
14,27188,161.9789,147.4062,39.1674,101.2358,7.0030
15,13093,158.3648,147.2347,36.9843,102.4594,7.7910
16,23222,159.4078,145.7615,44.9185,98.2082,2.6348
17,17792,144.1720,138.2084,44.1135,86.5688,7.5261
18,10477,149.3843,136.8529,28.2738,98.1903,10.3888
19,19606,146.4469,132.8879,36.8517,87.8172,8.2191
20,33033,156.6219,132.6346,33.3843,91.3795,7.8708
21,12611,132.4033,132.4799,35.5954,91.2754,5.6091
22,18225,134.4361,131.6081,38.0631,85.2620,8.2830
23,7140,144.1710,128.2104,37.2396,82.9281,8.0427
24,26025,124.9570,125.1681,38.4484,80.8972,5.8225
25,11093,144.5629,124.0155,27.7564,88.0144,8.2447
26,28804,141.0597,122.6654,41.2530,75.4078,6.0046
27,19652,132.2622,121.6005,34.0261,79.3610,8.2133
28,28133,130.6820,120.1744,29.9201,83.5165,6.7378
29,23840,129.3491,115.9244,20.9493,87.0143,7.9609
30,7149,125.5294,115.4528,31.3152,78.6116,5.5260
31,23918,120.9965,112.8060,31.8607,73.3724,7.5728
32,15104,127.2594,112.3261,34.1887,70.8930,7.2444
33,26820,108.5922,107.8752,22.9768,78.5827,6.3157
34,23786,112.6549,104.6750,42.6305,55.3612,6.6833
35,19779,109.9656,103.1495,21.9095,77.3984,3.8417
36,32706,108.2397,99.1741,21.6230,70.0232,7.5278
37,29999,96.4493,98.5291,36.9548,53.8909,7.6834
38,26907,106.1252,97.0334,27.2350,63.6156,6.1828
39,16169,110.5606,96.8640,23.7678,67.8382,5.2579
40,28651,98.6684,93.9981,34.8287,53.7407,5.4287
41,4848,106.9516,93.3087,30.1711,58.7292,4.4084
42,11212,106.6158,91.4323,15.6225,68.7818,7.0280
43,11347,85.7960,80.6747,21.3082,55.3588,4.0077
44,5356,88.9007,77.6635,20.5600,43.8038,13.2997
45,20625,65.3735,68.5688,20.1895,44.2007,4.1786
46,32736,82.5010,63.1116,22.9822,35.0159,5.1136
47,16377,73.5053,61.5759,23.3934,29.2915,8.8910
48,3825,62.9230,57.8995,11.5978,34.7702,11.5315
49,24018,54.3097,54.7122,21.1855,29.7229,3.8039
50,18011,44.2060,42.7903,14.8802,23.7408,4.1694
51,25577,48.3975,42.0769,6.6135,27.8238,7.6395
52,13201,71.9304,37.1045,19.2519,14.2637,3.5888
53,23942,40.2482,29.0593,8.8525,12.5483,7.6585
54,30439,48.5162,27.9271,6.2033,14.7457,6.9781
55,23524,24.5452,15.1750,12.6961,-3.7881,6.2670
56,8304,42.1478,13.7961,5.5111,3.2357,5.0493
