Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,23723,95.2994,93.1592,24.5377,61.0369,7.5846
2,32760,94.0500,85.4718,23.1478,57.7130,4.6110
3,25290,72.4300,69.2888,30.6019,37.6035,1.0834
4,34103,71.1704,61.0061,22.9200,30.3582,7.7280
5,23725,83.5828,60.0280,19.1647,31.3362,9.5271
6,34130,62.3914,53.4111,9.6599,38.0828,5.6684
7,23727,89.9036,48.5500,8.1902,33.1471,7.2127
8,34351,33.7116,25.6352,12.2975,8.2927,5.0451
9,28117,30.8470,23.3928,10.0470,9.0566,4.2892
10,11052,27.6222,22.6799,0.3690,16.1806,6.1303
11,23138,26.7125,21.7031,4.4900,9.8705,7.3426
12,28784,33.9073,19.5800,0.5823,15.1946,3.8031
13,34314,32.2988,11.9398,5.0729,0.7815,6.0854
14,25200,6.9335,10.8367,7.9435,-3.6510,6.5442
15,34347,3.4904,6.8924,-0.1230,5.7499,1.2655
16,25289,10.8911,2.8333,-8.0518,6.5035,4.3816
