Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,19066,241.0678,222.0321,54.0482,161.6814,4.5774
2,15993,190.5097,169.9433,41.1239,135.7059,10.0726
3,25916,194.1917,168.5674,39.7805,118.7113,11.0289
4,21087,193.4841,167.6682,39.9798,120.2806,7.5278
5,19091,169.4406,163.0896,31.1259,121.6700,10.3564
6,15996,162.9421,161.5907,35.4212,118.2968,8.5675
7,19234,167.2916,156.1122,43.8685,102.1593,9.9215
8,19256,177.3212,155.7436,40.9717,100.8961,14.1006
9,19097,161.4563,145.6650,30.8631,103.8735,10.6036
10,21028,175.3994,144.7438,34.9183,94.5271,13.4123
11,19043,157.4412,140.9659,29.3094,104.9502,6.8035
12,19116,148.4203,137.8237,27.3307,102.5966,5.4333
13,19053,131.1510,132.7278,34.9289,109.1373,6.0061
14,22590,129.4632,120.7155,35.2077,77.1687,5.9904
15,22586,128.4409,118.4202,29.5470,78.4962,7.3647
16,19061,126.9662,113.6406,31.5565,75.3663,8.2955
17,16166,137.1280,110.2904,25.9134,79.6530,6.0333
18,20043,129.7414,107.4467,19.2989,84.8113,3.7274
19,14278,119.1483,107.0803,25.5979,76.4236,5.5406
20,25538,118.8772,105.1438,26.8003,69.0896,9.1659
21,19152,130.2913,105.1297,29.0012,68.4205,8.0161
22,20965,125.8597,104.4117,21.2664,74.3088,8.6538
23,19139,115.8730,101.2767,27.0259,64.9017,5.8738
24,19088,112.0203,101.0477,25.8510,69.6291,5.8347
25,19056,113.1753,94.7669,19.2451,65.7935,9.9978
26,22017,127.7435,94.4287,28.3343,57.1540,5.6256
27,19047,97.2391,93.3851,33.5857,56.9339,4.2812
28,24310,109.2026,92.6470,33.3729,45.7674,14.0186
29,20936,97.1036,90.9839,29.0437,50.3971,8.0157
30,19071,105.7495,87.1853,23.1709,52.4276,10.9407
31,19143,91.6876,84.1654,20.3509,56.7453,4.8586
32,25871,90.8847,82.4645,28.9475,46.4501,6.4970
33,19084,92.7669,81.4091,7.9808,69.7323,4.6871
34,19062,86.3421,77.4836,25.4164,42.4163,6.5141
35,19101,77.1900,75.1653,21.9839,47.6754,5.6908
36,19120,89.2186,74.3534,13.4620,56.8233,6.0541
37,21996,91.3700,73.2529,20.8834,47.6779,3.9953
38,26075,99.0172,70.8789,19.5466,41.7991,10.1488
39,19115,76.9215,70.5999,16.6434,42.6503,7.7783
40,21071,90.9486,69.8517,18.9752,45.7309,6.1393
41,19098,86.9267,68.5589,22.3934,42.0642,4.1292
42,21455,65.6444,68.2468,15.1819,45.0861,5.1396
43,23486,63.5390,59.9711,18.9334,35.8290,5.8055
44,20912,71.5357,59.3021,16.6840,35.9833,6.5155
45,22114,68.8041,52.4119,12.5847,40.6439,1.1150
46,19117,71.2611,49.0834,14.2726,29.7431,5.3900
47,22941,37.7063,21.5965,1.4654,10.2554,10.7138
48,24032,40.2359,7.9590,-3.4670,2.8593,8.9767
