Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,20265,226.8271,195.5011,39.8308,143.2213,12.8095
2,17861,220.4352,180.6485,49.9464,118.8233,14.6790
3,24033,186.3666,179.7980,30.5743,137.7000,12.6895
4,19099,185.4557,173.8860,35.7625,121.2863,12.9875
5,14270,185.4631,172.0783,47.5687,111.2730,13.4546
6,17713,185.4216,169.1181,36.1253,123.1305,10.3041
7,24345,168.8155,158.4952,57.4387,118.0806,7.4511
8,15991,184.6746,157.5153,45.4771,100.5075,11.6125
9,24909,171.1747,154.8621,39.4051,105.4096,7.3709
10,19176,157.9068,150.8612,42.7735,99.4404,6.5181
11,23205,167.4244,148.6035,43.4049,103.0266,4.0914
12,19044,156.0838,141.9637,36.2341,96.0285,6.4307
13,15989,163.6990,141.0656,29.0030,106.9593,5.4958
14,22998,170.9942,130.2015,30.5797,96.1439,4.6515
15,24478,143.8209,128.6102,27.9574,83.2265,13.0151
16,24928,133.4448,122.1053,25.7319,89.7438,3.7092
17,18160,138.6345,120.5940,27.3680,88.2656,5.8488
18,12560,141.0782,120.4440,21.0931,86.3651,11.1831
19,19112,148.1758,117.8466,29.4776,76.5804,11.4057
20,19064,117.1730,117.2335,19.7026,89.6011,8.7607
21,17965,134.0987,116.1828,32.9149,69.6435,8.4868
22,21476,125.7163,111.5503,24.0804,81.9060,9.1904
23,32868,124.7320,111.2772,22.2611,83.6988,3.4177
24,19082,133.0138,110.9474,29.4213,77.9019,5.6545
25,15972,117.1885,110.8476,26.8552,77.8232,6.3990
26,19048,128.9596,106.6741,29.1221,68.9214,9.0605
27,20732,124.0280,105.7379,19.5994,74.5845,6.1378
28,21031,108.5973,96.8759,17.7344,70.5984,10.2026
29,23161,111.8013,92.0990,27.4083,80.9221,6.5719
30,19054,117.0866,91.6330,24.0131,55.9362,12.3732
31,19105,123.2747,89.0457,25.3510,56.6728,7.0551
32,25225,97.5855,87.0976,18.9768,62.6815,6.0418
33,24037,82.9603,79.5581,8.8408,65.2088,6.3831
34,19079,87.2487,72.7493,27.3544,41.1229,5.3634
35,17873,92.7767,70.0577,23.1333,42.5947,3.9623
36,19134,71.2916,68.2349,25.9087,29.6821,7.2283
37,19141,64.9459,66.3286,35.5712,25.2642,5.9774
38,17962,89.9587,66.0286,31.8259,21.2493,13.1972
39,19068,91.5331,65.3802,15.0591,44.0605,7.3670
40,19104,95.4636,65.2275,8.9965,51.0364,5.8960
41,19121,96.8434,62.6555,22.2498,31.5968,11.4245
42,17860,80.7986,61.9808,8.5377,47.5247,5.1457
43,19067,79.9443,61.3198,13.4709,42.6254,6.5266
44,19049,78.3390,61.1862,18.0201,31.6221,6.6013
45,22226,71.0715,60.2871,11.9516,40.2570,7.4709
46,18338,56.4089,59.4176,18.0464,30.9234,5.9630
47,19075,71.5979,54.5943,12.7209,32.9008,8.7433
48,19085,46.2275,47.2984,19.4943,21.9478,5.0418
