Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,23224,167.7704,159.6531,46.9300,102.2518,10.4713
2,7854,180.3554,151.9006,36.4653,101.3491,14.0862
3,23346,157.6846,151.4298,33.3055,109.5871,8.5371
4,6165,145.9504,125.1783,40.1571,75.0222,9.9991
5,30592,126.7229,118.3450,44.1828,67.3183,6.8438
6,19819,116.1804,114.5414,28.7684,83.3108,2.4622
7,27090,115.3987,107.1987,36.7115,64.6688,5.8184
8,14525,117.4493,105.8936,27.5127,74.3158,4.0652
9,25627,99.6470,104.1619,33.9105,62.9266,7.3248
10,17094,125.9796,101.3527,22.6092,69.3612,9.3822
11,31616,99.2488,95.2193,26.0738,61.9583,7.1872
12,21316,113.3208,92.4215,26.1937,62.1003,4.1275
13,21454,127.1424,89.0080,31.2058,47.2422,10.5600
14,14493,85.7006,84.8957,37.1851,46.0172,1.6933
15,5773,102.1607,82.1061,27.1576,45.0668,9.8817
16,27621,91.1305,79.5814,15.7838,59.3904,4.4072
17,16533,61.5925,68.0833,12.9878,49.6676,5.4279
18,16026,66.2455,67.3507,23.4331,41.6553,2.2623
19,16278,86.6262,67.2818,18.3112,39.5471,9.4235
20,25690,84.5530,65.0255,17.2015,38.1011,9.7229
21,31174,59.7962,62.3184,22.1594,33.2341,6.9248
22,18466,68.6360,61.2937,24.0953,30.0404,7.1580
23,26586,55.9673,60.7513,24.1095,30.4386,6.2032
24,23292,65.8611,56.6722,35.5009,16.7143,4.4570
25,9614,55.7112,53.3083,20.8056,31.1252,1.3774
26,26401,50.8687,46.1729,22.7409,18.8896,4.5424
27,20163,53.8402,40.0533,13.6438,23.5784,2.8312
28,23393,52.2955,38.3238,-3.7631,27.9440,14.1429
29,25961,47.3980,37.9469,20.4831,11.1697,6.2940
30,8375,36.8329,35.7843,12.2656,16.6229,6.8958
31,9784,39.2630,29.3211,24.2432,-0.0203,5.0982
32,18340,25.4389,13.7323,-0.6616,13.0666,1.3274
