Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,19639,199.7824,181.2318,38.8838,133.6202,8.7278
2,8404,149.7559,162.3562,44.0073,109.7921,8.5568
3,23222,142.5374,154.5471,29.0502,120.4089,5.0881
4,12635,146.3556,147.1925,22.6343,116.4795,8.0787
5,23641,184.7317,146.8924,28.8267,111.0311,7.0346
6,26713,128.9453,145.0134,27.2713,103.3494,14.3927
7,14259,150.8195,144.4712,30.6347,103.3104,10.5261
8,15385,141.1988,138.2781,30.0408,101.8183,6.4190
9,22297,151.7437,136.9504,20.6558,114.5415,1.7531
10,19862,155.5144,131.2025,49.7769,73.4838,7.9418
11,16236,139.2805,128.8740,37.5791,84.3769,6.9180
12,8381,109.5610,120.6407,30.7367,79.6542,10.2498
13,21227,134.1153,111.9724,56.5066,53.0832,2.3826
14,29619,119.5961,109.5343,22.4740,75.5813,11.4790
15,7641,107.3146,102.9356,35.6213,59.3343,7.9800
16,19505,120.0563,91.1210,27.6585,57.9090,5.5534
17,30619,88.2246,91.0511,21.7467,64.2876,5.0167
18,23287,95.0299,89.3567,40.0602,40.4919,8.8047
19,25667,88.3249,82.3223,22.8770,50.7963,8.6491
20,26106,78.9373,77.3279,6.9661,61.7647,8.5971
21,16481,154.9002,74.4848,39.1104,27.6725,7.7019
22,14323,71.9470,72.1160,30.2067,35.1324,6.7769
23,26436,59.2884,70.2209,6.9593,56.7065,6.5551
24,26216,97.3461,69.8876,22.8707,41.0655,5.9513
25,23642,53.0377,58.4461,32.2635,22.3579,3.8248
26,32646,66.2370,51.4118,27.3238,21.0932,2.9949
27,4345,74.8838,48.1144,15.5718,28.1590,4.3836
28,21419,51.5295,46.2219,15.6447,22.9793,7.5978
29,8625,71.8148,42.8453,8.2714,26.4397,8.1342
30,13217,43.7839,42.0116,7.2539,29.0694,5.6884
31,19896,75.7435,34.1753,23.6398,4.8933,5.6422
32,3470,59.2763,30.2220,13.3946,10.3968,6.4305
