Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,10809,130.3395,130.5237,34.9881,90.6597,4.8759
2,26013,113.1372,107.5377,37.5848,62.3063,7.6466
3,19743,113.0109,102.9483,35.1826,57.3884,10.3774
4,18142,117.0953,102.3776,25.7660,63.4338,13.1778
5,26235,106.1640,89.8786,21.6398,58.3548,9.8840
6,12499,93.6262,89.2095,29.1431,48.3361,11.7303
7,22105,93.4457,86.3166,28.4801,53.5532,4.2833
8,23997,82.0220,86.1115,19.6549,62.9436,3.5130
9,3650,81.8776,85.6845,14.0443,66.9362,4.7040
10,5131,85.4675,75.7152,22.5591,44.8550,8.3011
11,32159,67.7124,67.9114,14.8342,47.4183,5.6589
12,24664,69.2581,67.8050,26.2556,31.7967,9.7526
13,14535,94.4968,63.9757,23.0984,31.2162,9.6611
14,31862,64.1060,62.9913,31.3546,28.0399,3.5968
15,15097,82.9438,62.5178,21.2763,32.5315,8.7100
16,11212,58.0972,59.8115,20.0011,33.6098,6.2006
17,23280,50.1139,55.5323,20.3029,26.4911,8.7384
18,23676,73.8840,55.3925,13.5980,34.2187,7.5758
19,23673,68.4993,53.8049,4.3078,38.8235,10.6736
20,31420,62.2138,51.8201,15.7717,33.1215,2.9269
21,13084,59.4273,50.9906,13.7637,27.7345,9.4924
22,14338,45.6098,50.0205,7.5022,38.6014,3.9169
23,24730,57.2126,49.7845,13.0645,34.0986,2.6214
24,9892,68.9997,48.9617,15.0336,27.1883,6.7398
25,24218,53.1253,47.3392,16.2514,26.0165,5.0714
26,24111,43.3431,43.0178,6.2215,28.6959,8.1005
27,26982,53.9919,42.8825,15.7225,22.3254,4.8346
28,18263,45.7402,41.4689,18.3505,17.5646,5.5539
29,8097,47.1089,40.4026,17.2693,17.2061,5.9272
30,12778,54.4708,40.0490,15.5594,19.1218,5.3678
31,31800,51.2051,39.8453,10.4557,24.1093,5.2803
32,4262,53.9956,38.8314,11.4470,20.6708,6.7136
33,6016,32.6905,36.7158,7.9732,24.4877,4.2548
34,24029,36.9997,35.0218,5.3428,22.8138,6.8652
35,18365,33.4082,34.5935,13.6636,15.3321,5.5978
36,7159,37.7242,33.7719,16.1290,14.7661,2.8768
37,13089,40.2555,29.5814,10.4846,9.7934,9.3034
38,32811,43.4879,28.4150,12.3011,9.6486,6.4653
39,3848,38.3874,23.4428,10.1242,5.9767,7.3418
40,9266,28.9868,20.3844,9.6088,3.6863,7.0892
