Rank,Team Number,OPR,npOPR,Auto OPR,Teleop OPR,Endgame OPR
1,11329,216.1642,204.1954,48.9510,148.0284,7.2160
2,14596,133.2162,129.1575,23.0008,99.1917,6.9650
3,32888,119.1429,102.8426,23.6208,70.3573,8.8645
4,26897,105.5877,100.3384,20.6825,71.3678,8.2880
5,13414,111.0410,97.6227,21.4578,67.7291,8.4358
6,9864,103.1446,91.3420,28.8655,54.2893,8.1872
7,21624,80.1771,88.1744,23.8288,57.5489,6.7968
8,21945,89.6147,79.7340,19.4565,55.1618,5.1156
9,11272,77.4932,76.2709,27.0179,42.2074,7.0456
10,14954,72.0753,71.3126,16.7589,49.0546,5.4991
11,12014,79.0307,70.6979,29.5711,33.7038,7.4230
12,11992,65.8186,69.0909,31.6619,34.3997,3.0293
13,19366,76.0139,61.7608,13.7660,35.6907,12.3041
14,4366,72.9163,60.6197,16.9162,37.9179,5.7856
15,22331,64.6818,59.6269,13.8317,41.7190,4.0762
16,15455,66.6917,59.0779,21.2434,33.7984,4.0361
17,23912,59.2937,52.6243,9.7335,37.2972,5.5936
18,18174,51.3935,50.6707,5.0418,40.0410,5.5879
19,8578,48.5668,48.7166,9.1409,35.3441,4.2316
20,30458,54.2786,48.1241,23.0132,20.0163,5.0946
21,26448,35.5441,41.7512,12.1095,22.7908,6.8509
22,32180,53.9272,39.4353,8.2396,23.3523,7.8434
23,6518,38.4287,38.5910,5.4429,25.1835,7.9645
24,17994,58.6428,37.6217,5.4594,25.3401,6.8221
25,13295,41.1273,30.6516,3.4802,20.4582,6.7132
26,26702,30.4667,26.2331,13.8127,7.9158,4.5046
27,24102,25.7292,20.9180,3.7835,15.9894,1.1451
28,8791,14.9187,2.7283,13.9787,-16.4903,5.2400
