Rank,Team Number,OPR,OPR No Penalty Scored,OPR Auto,OPR Teleop Only,OPR Endgame
1,23944,177.0616,177.4493,48.5157,118.0229,10.9107
2,16832,101.8369,106.0455,27.4047,72.8229,5.8179
3,4848,94.6288,87.9062,29.2503,56.4942,2.1616
4,16320,82.3391,84.8520,22.9581,53.3303,8.5635
5,12209,85.2555,82.8113,17.3906,63.0858,2.3349
6,20313,81.4432,80.2967,17.9719,55.6168,6.7081
7,12820,93.9228,79.4438,16.6819,53.8011,8.9609
8,8811,71.2215,71.7656,17.7254,46.5431,7.4971
9,22837,79.6576,71.3899,19.1535,43.1706,9.0658
10,33791,81.7705,67.4461,14.8965,45.1259,7.4238
11,12713,78.8233,67.0982,14.0770,46.8637,6.1575
12,25783,82.2145,66.7422,29.8869,31.1520,5.7033
13,12395,66.0223,62.2682,24.0263,32.2292,6.0128
14,25801,98.3050,60.5263,12.5393,36.5985,11.3885
15,6566,63.5101,52.6097,14.5500,25.5001,12.5596
16,6832,72.1945,50.8912,22.4090,25.7546,2.7276
17,13269,49.5511,49.7484,11.4701,33.9151,4.3633
18,7505,46.8301,48.7225,5.0676,37.2270,6.4279
19,18900,59.2597,41.5216,2.4448,30.3292,8.7476
20,4902,37.9638,38.1704,10.9054,16.0089,11.2560
21,24764,44.5117,31.1404,9.4102,17.1097,4.6205
22,27283,28.5897,27.8969,16.5066,5.4888,5.9015
